K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   4   1       0   1.0000 16:10:17 -2.43943335983E+06 -2.43943335983E+06 -0.01866 -0.02858  0.05414  0.15285  0.14893  0.08995
3   4   1     100   6.3063 16:10:17 -2.36401411870E+06 -2.36401411870E+06  0.05414 -0.01866 -0.02858  0.08995  0.15285  0.14893
3   4   1     200  13.4529 16:10:17 -2.18441366988E+06 -2.18441366988E+06  0.05414 -0.02858 -0.01866  0.08995  0.14893  0.15285
3   4   1     400  15.1982 16:10:17 -2.22620695160E+06 -2.18441366988E+06 -0.01866  0.05414 -0.02858  0.15285  0.08995  0.14893
3   4   1     800  20.6473 17:10:17 -2.25291664897E+06 -2.18441366988E+06  0.05414 -0.01866 -0.02858  0.08995  0.15285  0.14893
3   4   2    1600  37.1508 17:10:17 -2.23264982378E+06 -2.18441366988E+06  0.12214  0.12370  0.17299  0.05668  0.06024  0.01981
3   4   2    1800  37.6638 18:10:17 -2.23873384312E+06 -2.18441366988E+06  0.12370  0.12214  0.17299  0.06024  0.05668  0.01981
3   4   4    3200  16.9620 19:10:17 -2.22031539042E+06 -2.18441366988E+06  0.13954  0.07427  0.17803  0.05436  0.08028  0.02054
3   4   4    3700  20.7911 20:10:17 -2.21657118879E+06 -2.18441366988E+06  0.14282  0.12452  0.17227  0.05014  0.05018  0.01981
3   4   6    5500  30.6346 22:10:17 -2.24012036142E+06 -2.18441366988E+06  0.11276  0.12708  0.17357  0.06667  0.05576  0.01981
3   4   8    6400  10.7143 23:10:17 -2.20298310809E+06 -2.18441366988E+06  0.17012  0.17112  0.14753  0.03160  0.01981  0.03278
3   4   9    7300   3.2258 24:10:17 -2.19258747925E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
3   4  11    9400   3.8589 26:10:17 -2.19614510113E+06 -2.18441366988E+06  0.17435  0.14370  0.17114  0.03099  0.03278  0.01981
3   4 200   10489   0.0000 27:10:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
