K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   7   1       0   1.0000 52:29:17 -2.42464025823E+06 -2.42464025823E+06 -0.02369  0.02366  0.02774 -0.02658 -0.01238  0.14058  0.11592  0.10812  0.16311  0.14433
5   7   1     100   5.5556 52:29:17 -2.41931537820E+06 -2.41020508323E+06  0.02366 -0.02658 -0.02369 -0.01238  0.02774  0.11592  0.16311  0.14058  0.14433  0.10812
5   7   1     200  27.0142 52:29:17 -2.24770874494E+06 -2.24770874494E+06  0.02366  0.02774 -0.02369 -0.01238 -0.02658  0.11592  0.10812  0.14058  0.14433  0.16311
5   7   1     400  31.1436 53:29:17 -2.23019036530E+06 -2.20993936665E+06 -0.02369  0.02366 -0.02658  0.02774 -0.01238  0.14058  0.11592  0.16311  0.10812  0.14433
5   7   1     800  35.2651 53:29:17 -2.21849870991E+06 -2.19693263435E+06  0.02366 -0.01238  0.02774 -0.02369 -0.02658  0.11592  0.14433  0.10812  0.14058  0.16311
5   7   1    1100  37.9838 54:29:17 -2.20990444715E+06 -2.19693263435E+06 -0.01238  0.02366 -0.02658  0.02774 -0.02369  0.14433  0.11592  0.16311  0.10812  0.14058
5   7   1    1600  37.9268 54:29:17 -2.22152945218E+06 -2.19693263435E+06 -0.01238 -0.02658 -0.02369  0.02774  0.02366  0.14433  0.16311  0.14058  0.10812  0.11592
5   7   2    2700  30.3487 56:29:17 -2.19993444053E+06 -2.19473965630E+06  0.15092  0.11721  0.12003  0.09741  0.10728  0.00535  0.01981  0.03676  0.01739  0.03252
5   7   2    3200  31.5823 56:29:17 -2.20750358629E+06 -2.19473965630E+06  0.09741  0.10728  0.11721  0.15092  0.12003  0.01739  0.03252  0.01981  0.00535  0.03676
5   7   3    4300  34.8814 58:29:17 -2.20576766016E+06 -2.19473965630E+06  0.08787  0.10684  0.11670  0.10573  0.15068  0.01923  0.03266  0.01981  0.06452  0.00179
5   7   4    5900  31.6770 00:30:17 -2.20731433077E+06 -2.19473965630E+06  0.11697  0.10231  0.11713  0.15251  0.08557  0.03702  0.02779  0.01981  0.00262  0.03740
5   7   4    6400  30.4911 00:30:17 -2.20577072189E+06 -2.19473965630E+06  0.11697  0.15251  0.11713  0.10231  0.08557  0.03702  0.00262  0.01981  0.02779  0.03740
5   7   5    7500  31.5502 02:30:17 -2.20006389205E+06 -2.19473965630E+06  0.12153  0.11721  0.11082  0.11053  0.08227  0.03355  0.01981  0.04269  0.02002  0.03271
5   7   6    9000  24.0310 04:30:17 -2.20362656742E+06 -2.19473965630E+06  0.05794  0.15263  0.11662  0.09475  0.09871  0.06476  0.00524  0.01981  0.02443  0.05790
5   7   7   10500  23.9645 06:30:17 -2.19679997024E+06 -2.19170485855E+06  0.15193  0.11582  0.09222  0.07461  0.10157  0.00817  0.01981  0.03683  0.03908  0.03826
5   7   8   12100  29.7045 08:30:17 -2.20435687951E+06 -2.19053969418E+06  0.15254  0.15358  0.11804  0.10793  0.11036  0.00999  0.00603  0.01981  0.02524  0.02662
5   7   8   12800  28.5927 09:30:17 -2.21035409909E+06 -2.19053969418E+06  0.15358  0.15254  0.11804  0.10793  0.11036  0.00603  0.00999  0.01981  0.02524  0.02662
5   7   9   13600  20.9540 10:30:17 -2.20049575547E+06 -2.19053969418E+06  0.15461  0.15247  0.11751  0.11480  0.09926  0.00692  0.00639  0.01981  0.01955  0.02643
5   7  10   15100  27.5804 12:30:17 -2.20090588465E+06 -2.19053969418E+06  0.12259  0.14620  0.11693  0.09660  0.10375  0.03131  0.01020  0.01981  0.02758  0.02846
5   7  11   16600  17.5649 14:30:17 -2.19985729432E+06 -2.19053969418E+06  0.15785  0.14455  0.11641  0.09754  0.10782  0.01426  0.00224  0.01981  0.02025  0.02916
5   7  12   18000  17.2764 16:30:17 -2.19839181642E+06 -2.19053969418E+06  0.14455  0.15785  0.11641  0.09754  0.10782  0.00224  0.01426  0.01981  0.02025  0.02916
5   7  13   19400  15.3361 18:30:17 -2.19803412815E+06 -2.19053969418E+06  0.15387  0.15436  0.11603  0.09309  0.10801  0.00910  0.00476  0.01981  0.02154  0.03815
5   7  14   20800  15.7025 20:30:17 -2.19950647985E+06 -2.19053969418E+06  0.15500  0.14602  0.11607  0.08492  0.11190  0.01489  0.00206  0.01981  0.03986  0.01856
5   7  15   22100  15.0617 22:30:17 -2.19944850064E+06 -2.19053969418E+06  0.15164  0.11811  0.11646  0.10679  0.10987  0.00743  0.03151  0.01981  0.02171  0.02077
5   7  16   23500  17.4129 24:30:17 -2.20121068608E+06 -2.19053969418E+06  0.14865  0.15236  0.11612  0.09048  0.11112  0.00667  0.00946  0.01981  0.03327  0.02007
5   7  17   24800  13.8983 26:30:17 -2.19886864893E+06 -2.19053969418E+06  0.11653  0.15788  0.11658  0.10001  0.11834  0.03302  0.00592  0.01981  0.01405  0.02571
5   7  17   25600  13.9793 27:30:17 -2.19832126414E+06 -2.19053969418E+06  0.11653  0.15788  0.11658  0.10001  0.11834  0.03302  0.00592  0.01981  0.01405  0.02571
5   7  18   26200  15.7191 28:30:17 -2.19765547575E+06 -2.19053969418E+06  0.15788  0.11653  0.11658  0.10001  0.11834  0.00592  0.03302  0.01981  0.01405  0.02571
5   7  19   27500  11.1765 30:30:17 -2.19978006120E+06 -2.19053969418E+06  0.15826  0.14413  0.11639  0.11137  0.10656  0.01223  0.00362  0.01981  0.01543  0.02537
5   7  19   28700  11.1388 32:30:17 -2.19890203330E+06 -2.19053969418E+06  0.12613  0.14464  0.11648  0.09991  0.11824  0.03839  0.00233  0.01981  0.01405  0.02571
