K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4  10   1       0   1.0000 20:21:17 -2.38530809242E+06 -2.38530809242E+06  0.05622 -0.04536  0.10476 -0.00581  0.10317  0.15595  0.05719  0.12936
4  10   1     100   7.0175 20:21:17 -2.35532195340E+06 -2.35470462344E+06  0.10476  0.05622 -0.04536 -0.00581  0.05719  0.10317  0.15595  0.12936
4  10   1     200  15.7658 20:21:17 -2.23567208420E+06 -2.23474323880E+06  0.10476 -0.00581 -0.04536  0.05622  0.05719  0.12936  0.15595  0.10317
4  10   1     400  17.1806 20:21:17 -2.19838385101E+06 -2.18704045691E+06  0.10476 -0.04536 -0.00581  0.05622  0.05719  0.15595  0.12936  0.10317
4  10   1     800  24.0991 21:21:17 -2.22284748719E+06 -2.18704045691E+06  0.05622  0.10476 -0.04536 -0.00581  0.10317  0.05719  0.15595  0.12936
4  10   2    1400  20.1031 22:21:17 -2.19878464156E+06 -2.18413706002E+06  0.13227  0.13486  0.10312  0.11876  0.04255  0.01981  0.03242  0.01578
4  10   2    1600  24.1463 22:21:17 -2.21815462103E+06 -2.18413706002E+06  0.11876  0.10312  0.13227  0.13486  0.01578  0.03242  0.04255  0.01981
4  10   3    3100  21.2443 24:21:17 -2.19649370224E+06 -2.18413706002E+06  0.17003  0.11337  0.13659  0.09769  0.00698  0.02940  0.01981  0.05394
4  10   3    3200  20.8707 24:21:17 -2.19611988750E+06 -2.18413706002E+06  0.17003  0.09769  0.13659  0.11337  0.00698  0.05394  0.01981  0.02940
4  10   4    4800  28.8625 26:21:17 -2.19050243508E+06 -2.18413706002E+06  0.12544  0.13708  0.17432  0.08604  0.02300  0.01981  0.01097  0.05868
4  10   6    6400  21.2871 27:21:17 -2.19472704191E+06 -2.18326524928E+06  0.16989  0.13148  0.13388  0.10801  0.00835  0.03604  0.01981  0.02050
4  10   6    6500  20.9924 28:21:17 -2.19891091679E+06 -2.18326524928E+06  0.16989  0.13148  0.13388  0.10801  0.00835  0.03604  0.01981  0.02050
4  10   7    8100  17.5993 30:21:17 -2.18833565379E+06 -2.18326524928E+06  0.17136  0.13539  0.10903  0.11789  0.00835  0.01981  0.02928  0.03296
4  10   9    9700  11.2245 32:21:17 -2.19615488372E+06 -2.18308869957E+06  0.17117  0.13520  0.12000  0.12498  0.00835  0.01981  0.02655  0.02171
4  10  10   11300  10.2317 34:21:17 -2.18824438260E+06 -2.18308869957E+06  0.17353  0.13763  0.13477  0.11837  0.00835  0.01981  0.01955  0.02643
4  10  12   12800   9.1633 36:21:17 -2.18731456746E+06 -2.18308869957E+06  0.17174  0.13579  0.13241  0.11188  0.00835  0.01981  0.02075  0.02721
4  10  12   12900   9.3583 36:21:17 -2.18555678335E+06 -2.18308869957E+06  0.17174  0.13579  0.13241  0.11188  0.00835  0.01981  0.02075  0.02721
4  10  13   14400  12.8889 38:21:17 -2.18557168669E+06 -2.18308869957E+06  0.17109  0.13511  0.10901  0.13324  0.00835  0.01981  0.02703  0.02266
4  10  15   15900   5.4054 40:21:17 -2.18428994210E+06 -2.18308869957E+06  0.17231  0.13637  0.10288  0.13189  0.00835  0.01981  0.04860  0.01022
4  10  16   17600   5.7325 42:21:17 -2.18442527663E+06 -2.18308869957E+06  0.17086  0.13488  0.11192  0.12582  0.00835  0.01981  0.02458  0.02915
4  10  18   19200   3.7037 44:21:17 -2.18315520887E+06 -2.18308869957E+06  0.17329  0.13738  0.12665  0.13188  0.00835  0.01981  0.00912  0.02761
4  10  19   20800   4.0501 46:21:17 -2.18639710335E+06 -2.18308869957E+06  0.17329  0.13738  0.12665  0.13188  0.00835  0.01981  0.00912  0.02761
4  10  21   22400   3.6517 48:21:17 -2.18315520887E+06 -2.18308869957E+06  0.17329  0.13738  0.12665  0.13188  0.00835  0.01981  0.00912  0.02761
4  10 200   23145   0.0000 49:21:17 -2.18308869957E+06 -2.18308869957E+06  0.17353  0.13763  0.13477  0.11837  0.00835  0.01981  0.01955  0.02643
