K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   1   1       0   1.0000 16:22:17 -2.41510280440E+06 -2.41510280440E+06 -0.03427 -0.02990 -0.02644  0.09797  0.02579  0.14441  0.15958  0.14398  0.06035  0.12175
5   1   1     100   2.8846 16:22:17 -2.38531858262E+06 -2.38531858262E+06  0.09797 -0.02990 -0.02644  0.02579 -0.03427  0.06035  0.15958  0.14398  0.12175  0.14441
5   1   1     200  17.9724 16:22:17 -2.22666888525E+06 -2.22645046949E+06 -0.02990  0.09797 -0.02644 -0.03427  0.02579  0.15958  0.06035  0.14398  0.14441  0.12175
5   1   1     400  24.7059 16:22:17 -2.20425819801E+06 -2.20114960564E+06  0.09797 -0.02644 -0.03427  0.02579 -0.02990  0.06035  0.14398  0.14441  0.12175  0.15958
5   1   1     800  25.3333 17:22:17 -2.20363127389E+06 -2.20114960564E+06  0.09797 -0.02644 -0.03427 -0.02990  0.02579  0.06035  0.14398  0.14441  0.15958  0.12175
5   1   1    1600  26.3385 17:22:17 -2.20361244543E+06 -2.20114960564E+06  0.09797 -0.03427 -0.02644  0.02579 -0.02990  0.06035  0.14441  0.14398  0.12175  0.15958
5   1   2    1700  25.6410 18:22:17 -2.20379611571E+06 -2.20114960564E+06  0.17917  0.14356  0.15255  0.12953  0.12457  0.00835  0.01903  0.02292  0.02449  0.03484
5   1   2    3200  26.2191 19:22:17 -2.20921424127E+06 -2.20112893415E+06  0.17917  0.15255  0.14356  0.12457  0.12953  0.00835  0.02292  0.01903  0.03484  0.02449
5   1   3    3300  41.9355 20:22:17 -2.20675352923E+06 -2.20112893415E+06  0.17917  0.14356  0.15255  0.12457  0.12953  0.00835  0.01903  0.02292  0.03484  0.02449
5   1   3    4900  28.5101 22:22:17 -2.20256901012E+06 -2.20112893415E+06  0.17933  0.14324  0.15352  0.12798  0.12483  0.00835  0.01271  0.02959  0.02907  0.03176
5   1   4    6400  22.4749 23:22:17 -2.20216121310E+06 -2.20090523241E+06  0.17888  0.15361  0.14423  0.13519  0.12963  0.00835  0.02004  0.01826  0.02555  0.02486
5   1   4    6500  22.8840 24:22:17 -2.20911837265E+06 -2.20090523241E+06  0.17888  0.15361  0.14423  0.13519  0.12963  0.00835  0.02004  0.01826  0.02555  0.02486
5   1   6    8100  23.8095 26:22:17 -2.20228715110E+06 -2.20090523241E+06  0.18108  0.14704  0.15091  0.14126  0.13523  0.00835  0.01722  0.02157  0.02627  0.01724
5   1   6    9600  22.8367 28:22:17 -2.20190501766E+06 -2.20087387988E+06  0.17847  0.15601  0.14312  0.11319  0.13607  0.00835  0.02719  0.01278  0.02805  0.03508
