K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   6   1       0   1.0000 47:28:17 -2.43755664674E+06 -2.43755664674E+06  0.00182 -0.03941  0.00707 -0.03636  0.01313  0.13373  0.16971  0.13858  0.14389  0.11790
5   6   1     100   1.8868 47:28:17 -2.42970127411E+06 -2.42963346365E+06  0.00707 -0.03941 -0.03636  0.01313  0.00182  0.13858  0.16971  0.14389  0.11790  0.13373
5   6   1     200  12.9032 47:28:17 -2.23048610148E+06 -2.23048610148E+06  0.00707 -0.03941 -0.03636  0.01313  0.00182  0.13858  0.16971  0.14389  0.11790  0.13373
5   6   1     400  14.9083 47:28:17 -2.22668854131E+06 -2.21825085272E+06  0.00707  0.00182 -0.03636 -0.03941  0.01313  0.13858  0.13373  0.14389  0.16971  0.11790
5   6   1     800  16.0178 48:28:17 -2.21639732813E+06 -2.19243742089E+06 -0.03941  0.00707 -0.03636  0.00182  0.01313  0.16971  0.13858  0.14389  0.13373  0.11790
5   6   1    1300  21.8943 49:28:17 -2.20427681378E+06 -2.19243742089E+06  0.00707 -0.03941 -0.03636  0.01313  0.00182  0.13858  0.16971  0.14389  0.11790  0.13373
5   6   2    1600  30.9735 49:28:17 -2.20504518968E+06 -2.19243742089E+06  0.00707 -0.03941 -0.03636  0.01313  0.00182  0.13858  0.16971  0.14389  0.11790  0.13373
5   6   2    2900  30.8563 51:28:17 -2.20833861406E+06 -2.19243742089E+06  0.14335  0.16192  0.11622  0.10191  0.09382  0.00463  0.00833  0.01981  0.03013  0.03010
5   6   3    3200  26.8657 51:28:17 -2.20481055932E+06 -2.19243742089E+06  0.16192  0.14335  0.11622  0.09382  0.10191  0.00833  0.00463  0.01981  0.03010  0.03013
5   6   3    4500  29.7001 53:28:17 -2.20598491368E+06 -2.19243742089E+06  0.15446  0.14590  0.11666  0.10699  0.08771  0.01087  0.00728  0.01981  0.03333  0.02222
5   6   4    6100  29.1541 55:28:17 -2.20172512132E+06 -2.19243742089E+06  0.15591  0.11553  0.11796  0.10414  0.11547  0.00846  0.03376  0.01981  0.02389  0.01910
5   6   4    6400  28.9409 55:28:17 -2.20667180889E+06 -2.19243742089E+06  0.11553  0.15591  0.11796  0.11547  0.10414  0.03376  0.00846  0.01981  0.01910  0.02389
5   6   5    7700  27.2370 57:28:17 -2.20595870653E+06 -2.19243742089E+06  0.16577  0.10850  0.11522  0.13992  0.09364  0.01437  0.03126  0.01981  0.00311  0.02090
5   6   6    9300  26.6018 59:28:17 -2.20312562418E+06 -2.19243742089E+06  0.14709  0.10910  0.11663  0.10094  0.09518  0.00413  0.06384  0.01981  0.02906  0.03437
5   6   7   10800  12.0974 01:29:17 -2.19436808635E+06 -2.19050826970E+06  0.14821  0.11411  0.11578  0.14464  0.10118  0.00835  0.01981  0.02065  0.01327  0.03047
5   6   8   12200   8.9897 03:29:17 -2.19253656989E+06 -2.19050826970E+06  0.14852  0.11443  0.14170  0.11617  0.11467  0.00835  0.01981  0.00359  0.01639  0.01900
5   6   9   12800   9.3458 03:29:17 -2.19050826637E+06 -2.19050826637E+06  0.14852  0.11443  0.14170  0.11617  0.11467  0.00835  0.01981  0.00359  0.01639  0.01900
5   6   9   13800  10.5228 05:29:17 -2.19421719382E+06 -2.19050826637E+06  0.14747  0.11335  0.09366  0.14390  0.09754  0.00835  0.01981  0.02923  0.01327  0.03276
5   6  10   15200   7.2812 07:29:17 -2.19315969266E+06 -2.19050826637E+06  0.14620  0.11204  0.09540  0.10629  0.13216  0.00835  0.01981  0.01405  0.02586  0.03743
5   6  12   16800   3.9062 09:29:17 -2.19286471832E+06 -2.19050826310E+06  0.14781  0.11370  0.14099  0.12734  0.09575  0.00835  0.01981  0.00359  0.00959  0.02954
5   6  13   18300   9.9237 11:29:17 -2.19147655862E+06 -2.19050826310E+06  0.14799  0.11388  0.14117  0.10584  0.10768  0.00835  0.01981  0.00359  0.02177  0.02599
5   6  14   19800   2.0690 13:29:17 -2.19115918112E+06 -2.19050826310E+06  0.14799  0.11388  0.14117  0.10584  0.10768  0.00835  0.01981  0.00359  0.02177  0.02599
5   6  15   21300   3.6269 15:29:17 -2.19103957135E+06 -2.19050826310E+06  0.14805  0.11395  0.14123  0.10299  0.12137  0.00835  0.01981  0.00359  0.01216  0.02819
5   6  16   22800   4.6753 17:29:17 -2.19053969418E+06 -2.19050826310E+06  0.14822  0.11412  0.14139  0.10638  0.12165  0.00835  0.01981  0.00359  0.01024  0.02906
5   6  17   24400   1.4760 19:29:17 -2.19167802229E+06 -2.19050826310E+06  0.14781  0.11370  0.14099  0.09575  0.12734  0.00835  0.01981  0.00359  0.02954  0.00959
5   6  18   25600   1.3937 20:29:17 -2.19050826310E+06 -2.19050826310E+06  0.14812  0.11401  0.14129  0.11141  0.11381  0.00835  0.01981  0.00359  0.02131  0.01679
5   6  18   26000   1.6272 21:29:17 -2.19128330604E+06 -2.19050826310E+06  0.14812  0.11401  0.14129  0.11141  0.11381  0.00835  0.01981  0.00359  0.02131  0.01679
5   6 200   26245   0.0000 21:29:17 -2.19050826310E+06 -2.19050826310E+06  0.14812  0.11401  0.14129  0.11381  0.11141  0.00835  0.01981  0.00359  0.01679  0.02131
