K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   3   1       0   1.0000 42:09:17 -2.40035407356E+06 -2.40035407356E+06  0.06030  0.03224 -0.00808  0.10537  0.11467  0.12653
3   3   1     100   3.7037 42:09:17 -2.38231565905E+06 -2.38231565905E+06  0.06030  0.03224 -0.00808  0.10537  0.11467  0.12653
3   3   1     200  14.6018 42:09:17 -2.25725767360E+06 -2.24850776871E+06  0.06030  0.03224 -0.00808  0.10537  0.11467  0.12653
3   3   1     400  16.7033 43:09:17 -2.21897046515E+06 -2.19283170353E+06  0.06030  0.03224 -0.00808  0.10537  0.11467  0.12653
3   3   1     800  23.8636 43:09:17 -2.25716204747E+06 -2.18793391725E+06  0.06030  0.03224 -0.00808  0.10537  0.11467  0.12653
3   3   2    1200  47.0790 44:09:17 -2.23760035219E+06 -2.18793391725E+06  0.13708  0.13016  0.17301  0.05252  0.05068  0.01981
3   3   2    1600  41.9682 44:09:17 -2.26792417097E+06 -2.18793391725E+06  0.13708  0.13016  0.17301  0.05252  0.05068  0.01981
3   3   4    3100  37.0892 46:09:17 -2.22444460083E+06 -2.18441366988E+06  0.11342  0.13931  0.17245  0.05056  0.06799  0.01981
3   3   4    3200  37.0607 46:09:17 -2.26739471294E+06 -2.18441366988E+06  0.11342  0.13931  0.17245  0.05056  0.06799  0.01981
3   3   6    5000  18.2927 48:09:17 -2.20842080144E+06 -2.18441366988E+06  0.13322  0.17023  0.13351  0.03276  0.01981  0.05845
3   3   7    6400  13.2712 49:09:17 -2.18441366988E+06 -2.18441366988E+06  0.19299  0.17130  0.14890  0.01944  0.01981  0.02962
3   3   8    6800  10.9626 50:09:17 -2.20810375335E+06 -2.18441366988E+06  0.19299  0.14890  0.17130  0.01944  0.02962  0.01981
3   3  11    8800   7.1429 52:09:17 -2.19397038727E+06 -2.18441366988E+06  0.19022  0.17131  0.14169  0.02146  0.01981  0.03426
3   3 200   10611   0.0000 53:09:17 -2.18441366988E+06 -2.18441366988E+06  0.18960  0.17161  0.14972  0.01691  0.01981  0.03421
