K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   1   1       0   1.0000 39:08:17 -2.45270877232E+06 -2.45270877232E+06 -0.02049  0.02387 -0.02276  0.16269  0.10565  0.14096
3   1   1     100   5.7143 39:08:17 -2.45315374365E+06 -2.44767135920E+06  0.02387 -0.02049 -0.02276  0.10565  0.16269  0.14096
3   1   1     200  29.1262 39:08:17 -2.31128693067E+06 -2.28318930429E+06 -0.02049  0.02387 -0.02276  0.16269  0.10565  0.14096
3   1   1     400  34.4828 40:08:17 -2.22934962220E+06 -2.21338280294E+06 -0.02049 -0.02276  0.02387  0.16269  0.14096  0.10565
3   1   1     800  36.4764 40:08:17 -2.23706076606E+06 -2.20393556918E+06 -0.02276 -0.02049  0.02387  0.14096  0.16269  0.10565
3   1   2    1300  35.6467 41:08:17 -2.22945335149E+06 -2.20306397839E+06  0.12277  0.12718  0.17211  0.06397  0.04788  0.01981
3   1   2    1600  29.3355 41:08:17 -2.23375559965E+06 -2.19630599232E+06  0.12277  0.12718  0.17211  0.06397  0.04788  0.01981
3   1   4    3200  14.1949 43:08:17 -2.23320678079E+06 -2.18441366988E+06  0.18412  0.13658  0.17207  0.02073  0.04474  0.01981
3   1   4    3300  14.4558 43:08:17 -2.20062112302E+06 -2.18441366988E+06  0.18412  0.17207  0.13658  0.02073  0.01981  0.04474
3   1   6    5200   5.0580 45:08:17 -2.19283170353E+06 -2.18441366988E+06  0.21393  0.17164  0.13489  0.00817  0.01981  0.03914
3   1   8    6400   1.5021 46:08:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
3   1  10    7600   0.0000 47:08:17 -2.19361497353E+06 -2.18441366988E+06  0.20904  0.17194  0.13771  0.00698  0.01981  0.04155
3   1 200    8580   0.0000 47:08:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
