K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   5   1       0   1.0000 06:17:17 -2.44551073450E+06 -2.44551073450E+06  0.01480 -0.03454  0.01055 -0.02752  0.12941  0.13783  0.12871  0.16012
4   5   1     100   3.7736 07:17:17 -2.43098005474E+06 -2.43098005474E+06  0.01480 -0.02752 -0.03454  0.01055  0.12941  0.16012  0.13783  0.12871
4   5   1     200  23.7209 07:17:17 -2.26595213771E+06 -2.25603148079E+06  0.01480 -0.02752  0.01055 -0.03454  0.12941  0.16012  0.12871  0.13783
4   5   1     400  25.0602 07:17:17 -2.21448032086E+06 -2.21115210828E+06  0.01480 -0.02752 -0.03454  0.01055  0.12941  0.16012  0.13783  0.12871
4   5   1     800  20.7792 07:17:17 -2.20218235677E+06 -2.20205453885E+06  0.01480 -0.02752 -0.03454  0.01055  0.12941  0.16012  0.13783  0.12871
4   5   1    1000  18.6347 08:17:17 -2.20286312462E+06 -2.20205453885E+06  0.01480 -0.02752 -0.03454  0.01055  0.12941  0.16012  0.13783  0.12871
4   5   2    1600  14.1280 08:17:17 -2.20650460902E+06 -2.20205453885E+06  0.19637  0.15993  0.16636  0.13787  0.00835  0.01725  0.02054  0.03198
4   5   3    2700  14.4304 10:17:17 -2.20269065792E+06 -2.20205453281E+06  0.19640  0.16395  0.16058  0.13790  0.00835  0.02911  0.00962  0.03198
4   5   3    3200  14.3579 10:17:17 -2.20303701403E+06 -2.20205453281E+06  0.19640  0.16395  0.16058  0.13790  0.00835  0.02911  0.00962  0.03198
4   5   4    4300  12.6789 12:17:17 -2.20270618112E+06 -2.20205453281E+06  0.19641  0.15528  0.17001  0.13791  0.00835  0.02468  0.01367  0.03198
4   5   6    6000  12.1951 14:17:17 -2.20278341062E+06 -2.20205453281E+06  0.19639  0.16175  0.16640  0.13790  0.00835  0.02152  0.01444  0.03198
4   5   6    6400  12.8235 14:17:17 -2.20293271311E+06 -2.20205453281E+06  0.19608  0.16620  0.16218  0.13757  0.00835  0.03064  0.01091  0.03198
4   5   7    7700  12.2727 16:17:17 -2.20320846975E+06 -2.20205453281E+06  0.19643  0.17169  0.15752  0.13793  0.00835  0.01977  0.02377  0.03198
4   5   9    9300  14.6907 18:17:17 -2.20253925887E+06 -2.20205453281E+06  0.19696  0.16472  0.16790  0.13849  0.00835  0.01903  0.02023  0.03198
4   5  10   10900  13.3673 20:17:17 -2.20246892817E+06 -2.20205453281E+06  0.19558  0.15468  0.17222  0.13704  0.00835  0.01300  0.02913  0.03198
4   5  12   12400   9.8039 22:17:17 -2.20281719751E+06 -2.20205453281E+06  0.19602  0.15833  0.17251  0.13750  0.00835  0.02113  0.01768  0.03198
4   5  12   12800  11.1811 22:17:17 -2.20254877019E+06 -2.20205453281E+06  0.19639  0.16887  0.15653  0.13790  0.00835  0.02734  0.01111  0.03198
4   5  13   14000  11.5385 24:17:17 -2.20255418376E+06 -2.20205453281E+06  0.19639  0.15653  0.16887  0.13790  0.00835  0.01111  0.02734  0.03198
4   5  14   15400   9.8626 26:17:17 -2.20242929546E+06 -2.20205453281E+06  0.19676  0.17068  0.16822  0.13828  0.00835  0.02036  0.01487  0.03198
4   5  16   16900  13.9211 28:17:17 -2.20252728409E+06 -2.20205453281E+06  0.19632  0.16255  0.16237  0.13782  0.00835  0.01034  0.02743  0.03198
4   5  17   18300  10.1415 30:17:17 -2.20309529270E+06 -2.20205453281E+06  0.19634  0.16866  0.16238  0.13784  0.00835  0.01190  0.02326  0.03198
4   5  18   19700   7.9073 32:17:17 -2.20310813482E+06 -2.20205453281E+06  0.19631  0.16904  0.16018  0.13781  0.00835  0.02265  0.01686  0.03198
4   5  20   21300   5.0000 34:17:17 -2.20242452285E+06 -2.20205453281E+06  0.19572  0.15847  0.17110  0.13719  0.00835  0.01407  0.02599  0.03198
4   5  21   22900   2.5923 36:17:17 -2.20235185632E+06 -2.20205453281E+06  0.19632  0.16070  0.16605  0.13782  0.00835  0.02447  0.01288  0.03198
4   5  23   24300   4.8346 38:17:17 -2.20216611860E+06 -2.20205453281E+06  0.19618  0.16033  0.16716  0.13767  0.00835  0.02697  0.00972  0.03198
4   5  24   25600   3.2984 39:17:17 -2.20207029969E+06 -2.20205453281E+06  0.19575  0.15582  0.17448  0.13722  0.00835  0.01934  0.01739  0.03198
4   5  24   25900   3.0476 40:17:17 -2.20232691040E+06 -2.20205453281E+06  0.19575  0.17448  0.15582  0.13722  0.00835  0.01739  0.01934  0.03198
4   5 200   26124   0.0000 40:17:17 -2.20205453281E+06 -2.20205453281E+06  0.19575  0.15582  0.17448  0.13722  0.00835  0.01934  0.01739  0.03198
