K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   3   1       0   1.0000 21:15:17 -2.43016524894E+06 -2.43016524894E+06  0.04858 -0.02738  0.00141 -0.02396  0.09262  0.15861  0.14081  0.13956
4   3   1     100   3.7037 21:15:17 -2.39630542598E+06 -2.39630542598E+06  0.04858 -0.02738  0.00141 -0.02396  0.09262  0.15861  0.14081  0.13956
4   3   1     200  16.9643 21:15:17 -2.21009360421E+06 -2.21009360421E+06  0.04858 -0.02396 -0.02738  0.00141  0.09262  0.13956  0.15861  0.14081
4   3   1     400  14.9220 21:15:17 -2.20257625965E+06 -2.20243669510E+06  0.04858 -0.02738 -0.02396  0.00141  0.09262  0.15861  0.13956  0.14081
4   3   1     800  12.6235 22:15:17 -2.20245215935E+06 -2.20205453281E+06  0.04858 -0.02738 -0.02396  0.00141  0.09262  0.15861  0.13956  0.14081
4   3   2    1600  12.7451 22:15:17 -2.20242978724E+06 -2.20205453281E+06  0.17667  0.16266  0.20428  0.13759  0.02531  0.02130  0.01343  0.02957
4   3   2    1700  12.2807 23:15:17 -2.20270745054E+06 -2.20205453281E+06  0.17667  0.20428  0.16266  0.13759  0.02531  0.01343  0.02130  0.02957
4   3   3    3200  12.5341 24:15:17 -2.20368887019E+06 -2.20205453281E+06  0.19680  0.17322  0.17031  0.13832  0.00835  0.01014  0.02139  0.03198
4   3   3    3300  13.2245 25:15:17 -2.20257625965E+06 -2.20205453281E+06  0.19680  0.17031  0.17322  0.13832  0.00835  0.02139  0.01014  0.03198
4   3   5    5000  12.2951 27:15:17 -2.20272638375E+06 -2.20205453281E+06  0.19403  0.15545  0.29767  0.13541  0.00835  0.01708  0.01469  0.03198
4   3   6    6400  12.8205 28:15:17 -2.20312969268E+06 -2.20205453281E+06  0.19642  0.15746  0.16600  0.13792  0.00835  0.02295  0.01671  0.03198
4   3   6    6600  13.3774 29:15:17 -2.20247650780E+06 -2.20205453281E+06  0.19642  0.16600  0.15746  0.13792  0.00835  0.01671  0.02295  0.03198
4   3   8    8200  15.2305 31:15:17 -2.20271788094E+06 -2.20205453281E+06  0.19634  0.17371  0.16568  0.13784  0.00835  0.01312  0.02042  0.03198
4   3   9    9800  11.1684 33:15:17 -2.20303175050E+06 -2.20205453281E+06  0.19670  0.16644  0.16397  0.13822  0.00835  0.02627  0.01430  0.03198
4   3  11   11400  11.1111 35:15:17 -2.20272477874E+06 -2.20205453281E+06  0.19640  0.16288  0.16357  0.13790  0.00835  0.01475  0.02547  0.03198
4   3  12   12800  13.7850 36:15:17 -2.20218236282E+06 -2.20205453281E+06  0.19654  0.16216  0.16197  0.13805  0.00835  0.01940  0.01954  0.03198
4   3  12   12900  13.0214 37:15:17 -2.20278585919E+06 -2.20205453281E+06  0.19654  0.16197  0.16216  0.13805  0.00835  0.01954  0.01940  0.03198
4   3  14   14400  11.9403 39:15:17 -2.20245215331E+06 -2.20205453281E+06  0.19632  0.16605  0.16070  0.13782  0.00835  0.01288  0.02447  0.03198
4   3  15   15800  11.2540 41:15:17 -2.20247650176E+06 -2.20205453281E+06  0.19639  0.16640  0.16175  0.13790  0.00835  0.01444  0.02152  0.03198
4   3  16   17300   8.6621 43:15:17 -2.20254073646E+06 -2.20205453281E+06  0.19656  0.16642  0.15848  0.13807  0.00835  0.02708  0.01368  0.03198
4   3  18   18800   9.4595 45:15:17 -2.20205453281E+06 -2.20205453281E+06  0.19615  0.16699  0.16214  0.13764  0.00835  0.02463  0.01563  0.03198
4   3  19   20300   9.6501 47:15:17 -2.20269480284E+06 -2.20205453281E+06  0.19640  0.16415  0.16163  0.13791  0.00835  0.01739  0.02411  0.03198
4   3  21   21800  10.5882 49:15:17 -2.20243669510E+06 -2.20205453281E+06  0.19628  0.16435  0.16054  0.13778  0.00835  0.01437  0.02438  0.03198
4   3  22   23300   4.2120 51:15:17 -2.20240856902E+06 -2.20205453281E+06  0.19620  0.16367  0.17335  0.13769  0.00835  0.01871  0.01611  0.03198
4   3  23   24800   6.9510 53:15:17 -2.20225456753E+06 -2.20205453281E+06  0.19632  0.16070  0.16605  0.13782  0.00835  0.02447  0.01288  0.03198
4   3 200   24839   0.0000 53:15:17 -2.20205453281E+06 -2.20205453281E+06  0.19632  0.16605  0.16070  0.13782  0.00835  0.01288  0.02447  0.03198
