K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   5   1       0   1.0000 38:07:17 -2.46168446485E+06 -2.46168446485E+06 -0.03419  0.03060  0.14775  0.11987
2   5   1     100   1.0000 38:07:17 -2.45814672571E+06 -2.45814672571E+06  0.03060 -0.03419  0.11987  0.14775
2   5   1     200  39.0000 38:07:17 -2.41693093573E+06 -2.38472957305E+06 -0.03419  0.03060  0.14775  0.11987
2   5   1     400  47.2500 39:07:17 -2.42853008376E+06 -2.25840623442E+06 -0.03419  0.03060  0.14775  0.11987
2   5   2     800  50.0000 39:07:17 -2.35061792226E+06 -2.25840623442E+06 -0.00704  0.08521  0.13532  0.09236
2   5   3    1500  30.0000 40:07:17 -2.45134582331E+06 -2.23902044762E+06  0.14741 -0.00901  0.07347  0.13829
2   5   3    1600  40.7143 40:07:17 -2.37946803126E+06 -2.23902044762E+06  0.14741 -0.00901  0.07347  0.13829
2   5   5    3200  21.3523 41:07:17 -2.23902044762E+06 -2.23902044762E+06  0.17962  0.08639  0.05625  0.09654
2   5   6    3700  21.4634 42:07:17 -2.25840623442E+06 -2.23902044762E+06  0.16617 -0.04324  0.06128  0.13872
2   5  10    5900   2.2814 44:07:17 -2.25840623442E+06 -2.23902044762E+06  0.18391  0.16734  0.05858  0.05413
2   5 200    6118   0.0000 44:07:17 -2.23902044762E+06 -2.23902044762E+06  0.18831  0.17849  0.05778  0.04884
