K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   8   1       0   1.0000 09:12:17 -2.45805658934E+06 -2.45805658934E+06 -0.00194 -0.02475 -0.00177  0.13077  0.14850  0.13504
3   8   1     100   2.8037 09:12:17 -2.44577447534E+06 -2.44577447534E+06 -0.00177 -0.00194 -0.02475  0.13504  0.13077  0.14850
3   8   1     200  11.6822 10:12:17 -2.18441366988E+06 -2.18441366988E+06 -0.00177 -0.02475 -0.00194  0.13504  0.14850  0.13077
3   8   1     400   5.6433 10:12:17 -2.18441366988E+06 -2.18441366988E+06 -0.00177 -0.02475 -0.00194  0.13504  0.14850  0.13077
3   8   3     800   0.0000 10:12:17 -2.18441366988E+06 -2.18441366988E+06 -0.00177 -0.02475 -0.00194  0.13504  0.14850  0.13077
3   8   5    1200   0.0000 11:12:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
3   8   6    1600   0.0000 11:12:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
3   8 200    2179   0.0000 12:12:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
