K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   8   1       0   1.0000 20:31:17 -2.43178817462E+06 -2.43178817462E+06 -0.03316  0.02947  0.00254  0.02190 -0.04534  0.16400  0.11349  0.13889  0.10151  0.16200
5   8   1     100   0.9709 20:31:17 -2.42606818487E+06 -2.42606818487E+06 -0.03316  0.02947  0.00254  0.02190 -0.04534  0.16400  0.11349  0.13889  0.10151  0.16200
5   8   1     200  25.7282 20:31:17 -2.29409533617E+06 -2.28312317873E+06 -0.03316  0.00254  0.02947  0.02190 -0.04534  0.16400  0.13889  0.11349  0.10151  0.16200
5   8   1     400  24.8768 21:31:17 -2.22365983196E+06 -2.22116186221E+06 -0.03316  0.02947 -0.04534  0.02190  0.00254  0.16400  0.11349  0.16200  0.10151  0.13889
5   8   1     800  25.4342 21:31:17 -2.21787954562E+06 -2.20423456533E+06 -0.03316  0.02947 -0.04534  0.02190  0.00254  0.16400  0.11349  0.16200  0.10151  0.13889
5   8   1    1200  25.4561 22:31:17 -2.20293029855E+06 -2.20207045232E+06 -0.03316  0.02190 -0.04534  0.02947  0.00254  0.16400  0.10151  0.16200  0.11349  0.13889
5   8   1    1600  24.4707 22:31:17 -2.20189113753E+06 -2.20113922589E+06 -0.03316 -0.04534  0.02190  0.02947  0.00254  0.16400  0.16200  0.10151  0.11349  0.13889
5   8   2    2800  21.2919 24:31:17 -2.20147339010E+06 -2.20085651426E+06  0.17926  0.14259  0.15267  0.14010  0.12386  0.00835  0.01461  0.02794  0.01991  0.03130
5   8   3    3200  18.6441 24:31:17 -2.20348788974E+06 -2.20085651426E+06  0.17926  0.15267  0.14259  0.14010  0.12386  0.00835  0.02794  0.01461  0.01991  0.03130
5   8   3    4400  15.5017 26:31:17 -2.20270003154E+06 -2.20085651426E+06  0.17936  0.14178  0.15934  0.12439  0.14059  0.00835  0.01934  0.01739  0.01652  0.03151
5   8   4    5900  16.2821 28:31:17 -2.20237131400E+06 -2.20085651426E+06  0.18120  0.15300  0.14863  0.13037  0.14548  0.00835  0.01444  0.02152  0.02643  0.01955
5   8   5    6400  16.7421 28:31:17 -2.20187354649E+06 -2.20085651426E+06  0.18120  0.14863  0.15300  0.13037  0.14548  0.00835  0.02152  0.01444  0.02643  0.01955
5   8   6    7500   8.6957 30:31:17 -2.20162030122E+06 -2.20085651426E+06  0.17999  0.15479  0.14896  0.11973  0.14492  0.00835  0.00581  0.02851  0.02883  0.02145
5   8   7    9100  15.7407 32:31:17 -2.20252575259E+06 -2.20079518595E+06  0.17912  0.14125  0.15824  0.13655  0.13196  0.00835  0.01799  0.01696  0.02171  0.02655
5   8   8   10600  11.0368 34:31:17 -2.20170063816E+06 -2.20079518595E+06  0.17995  0.15169  0.14506  0.14195  0.13727  0.00835  0.02642  0.01134  0.01543  0.02537
5   8   9   12100  11.7493 36:31:17 -2.20244482252E+06 -2.20079518595E+06  0.18095  0.15016  0.14996  0.13796  0.14279  0.00835  0.02069  0.02027  0.00912  0.02761
5   8   9   12800  11.9900 37:31:17 -2.20140052309E+06 -2.20079518595E+06  0.18095  0.15016  0.14996  0.13796  0.14279  0.00835  0.02069  0.02027  0.00912  0.02761
5   8  10   13600   9.9174 38:31:17 -2.20140962513E+06 -2.20079518595E+06  0.18006  0.15319  0.15552  0.14206  0.13738  0.00835  0.01487  0.02036  0.01543  0.02537
5   8  11   15000  12.2951 40:31:17 -2.20157496265E+06 -2.20079518595E+06  0.18095  0.14996  0.15016  0.13796  0.14279  0.00835  0.02027  0.02069  0.00912  0.02761
5   8  12   16500  10.7744 42:31:17 -2.20167074188E+06 -2.20072868354E+06  0.18095  0.15016  0.14996  0.13796  0.14279  0.00835  0.02069  0.02027  0.00912  0.02761
5   8  13   17900  11.0169 44:31:17 -2.20197285113E+06 -2.20072867750E+06  0.17948  0.15425  0.14692  0.13021  0.14035  0.00835  0.01475  0.02128  0.01405  0.03027
5   8  14   19300   6.8182 46:31:17 -2.20154347517E+06 -2.20072867750E+06  0.18083  0.15671  0.14811  0.12998  0.14510  0.00835  0.01966  0.01719  0.02643  0.01955
5   8  15   20800   6.8217 48:31:17 -2.20112894019E+06 -2.20072867750E+06  0.18125  0.14969  0.15013  0.13042  0.14553  0.00835  0.01320  0.02441  0.02643  0.01955
5   8  16   22300   4.9113 50:31:17 -2.20105539933E+06 -2.20072867750E+06  0.17957  0.14556  0.15120  0.13030  0.14045  0.00835  0.02246  0.01495  0.01405  0.03027
5   8  17   23800   3.8915 52:31:17 -2.20074444447E+06 -2.20072867750E+06  0.17938  0.15370  0.14536  0.13011  0.14025  0.00835  0.02265  0.01686  0.01405  0.03027
5   8  18   25300   3.8622 54:31:17 -2.20117814447E+06 -2.20072867750E+06  0.17912  0.14125  0.15824  0.13655  0.13196  0.00835  0.01799  0.01696  0.02171  0.02655
5   8  18   25600   4.8350 54:31:17 -2.20085651426E+06 -2.20072867750E+06  0.17912  0.15824  0.14125  0.13655  0.13196  0.00835  0.01696  0.01799  0.02171  0.02655
5   8  19   26800   4.1707 56:31:17 -2.20087388592E+06 -2.20072867750E+06  0.17915  0.15764  0.14852  0.12987  0.14002  0.00835  0.01611  0.01871  0.01405  0.03027
5   8  20   28300   3.8462 58:31:17 -2.20167935590E+06 -2.20072867750E+06  0.17986  0.15180  0.14639  0.14186  0.13717  0.00835  0.01650  0.02020  0.01543  0.02537
5   8  21   29600   4.2991 00:32:17 -2.20081094687E+06 -2.20072867750E+06  0.17986  0.14639  0.15180  0.14186  0.13717  0.00835  0.02020  0.01650  0.01543  0.02537
5   8  22   31000   2.0073 02:32:17 -2.20123967330E+06 -2.20072867750E+06  0.17959  0.14174  0.15872  0.12443  0.14334  0.00835  0.01799  0.01696  0.02721  0.02075
5   8  23   32500   1.5820 04:32:17 -2.20080737748E+06 -2.20072867750E+06  0.17951  0.14602  0.15143  0.13024  0.14039  0.00835  0.02020  0.01650  0.01405  0.03027
5   8 200   32889   0.0000 04:32:17 -2.20072867750E+06 -2.20072867750E+06  0.17951  0.15143  0.14602  0.13024  0.14039  0.00835  0.01650  0.02020  0.01405  0.03027
