K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   3   1       0   1.0000 47:24:17 -2.41591224926E+06 -2.41591224926E+06 -0.03032 -0.03161  0.01331  0.03007  0.04124  0.15074  0.16579  0.10377  0.12173  0.10387
5   3   1     100   3.6697 47:24:17 -2.38781939264E+06 -2.38770335220E+06 -0.03032  0.04124  0.03007  0.01331 -0.03161  0.15074  0.10387  0.12173  0.10377  0.16579
5   3   1     200  17.8571 47:24:17 -2.22989335553E+06 -2.22989335553E+06  0.03007 -0.03032 -0.03161  0.04124  0.01331  0.12173  0.15074  0.16579  0.10387  0.10377
5   3   1     400  18.2628 47:24:17 -2.22342229663E+06 -2.22286087912E+06  0.03007 -0.03032 -0.03161  0.04124  0.01331  0.12173  0.15074  0.16579  0.10387  0.10377
5   3   1     800  20.0000 48:24:17 -2.20090064115E+06 -2.19811926501E+06 -0.03032  0.03007 -0.03161  0.01331  0.04124  0.15074  0.12173  0.16579  0.10377  0.10387
5   3   2    1600  14.9254 49:24:17 -2.19974140156E+06 -2.19774082573E+06 -0.03032  0.01331 -0.03161  0.04124  0.03007  0.15074  0.10377  0.16579  0.10387  0.12173
5   3   2    1700  13.5458 49:24:17 -2.20705158140E+06 -2.19774082573E+06  0.07678  0.15053  0.11409  0.10197  0.13795  0.03985  0.01125  0.01981  0.02129  0.03230
5   3   3    3100   5.0459 51:24:17 -2.19147656522E+06 -2.19050826639E+06  0.15053  0.11409  0.07678  0.10197  0.13795  0.01125  0.01981  0.03985  0.02129  0.03230
5   3   3    3200   7.6696 51:24:17 -2.20479219290E+06 -2.19050826639E+06  0.13795  0.15053  0.11409  0.07678  0.10197  0.03230  0.01125  0.01981  0.03985  0.02129
5   3   4    4700  18.1159 53:24:17 -2.20327464256E+06 -2.19050826639E+06  0.14933  0.15571  0.11676  0.09532  0.10103  0.00853  0.00824  0.01981  0.03437  0.02391
5   3   5    6200   8.8843 55:24:17 -2.19751874208E+06 -2.19050826639E+06  0.14940  0.11490  0.11978  0.10914  0.06395  0.00873  0.01981  0.03170  0.02101  0.04363
5   3   5    6400   8.9918 55:24:17 -2.19269929733E+06 -2.19050826639E+06  0.14940  0.11490  0.10914  0.11978  0.06395  0.00873  0.01981  0.02101  0.03170  0.04363
5   3   6    7700  20.2487 57:24:17 -2.20036651091E+06 -2.19050826639E+06  0.14569  0.13803  0.11151  0.08349  0.10310  0.00835  0.04389  0.01981  0.02883  0.00485
5   3   7    9200  17.2684 59:24:17 -2.19981836508E+06 -2.19050826639E+06  0.14899  0.15381  0.11672  0.09379  0.11045  0.00869  0.00715  0.01981  0.02489  0.02561
5   3   8   10700  18.3175 01:25:17 -2.20050215003E+06 -2.19050826639E+06  0.18756  0.15814  0.11859  0.10921  0.10185 -0.00718  0.01247  0.01981  0.02945  0.01800
5   3   9   12200  16.2129 03:25:17 -2.19944587697E+06 -2.19050826639E+06  0.15237  0.14866  0.11612  0.09565  0.10953  0.00946  0.00667  0.01981  0.02909  0.02077
5   3   9   12800  15.8897 03:25:17 -2.19859429307E+06 -2.19050826639E+06  0.14866  0.15237  0.11612  0.09565  0.10953  0.00667  0.00946  0.01981  0.02909  0.02077
