K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   4   1       0   1.0000 57:25:17 -2.42144343755E+06 -2.42144343755E+06  0.03823  0.04251 -0.01917 -0.04679 -0.00929  0.11640  0.11075  0.15306  0.15206  0.13064
5   4   1     100   1.9417 57:25:17 -2.40510304461E+06 -2.40510304461E+06  0.04251  0.03823 -0.04679 -0.01917 -0.00929  0.11075  0.11640  0.15206  0.15306  0.13064
5   4   1     200  21.3953 57:25:17 -2.23968904818E+06 -2.23430602919E+06  0.04251 -0.01917 -0.00929 -0.04679  0.03823  0.11075  0.15306  0.13064  0.15206  0.11640
5   4   1     400  32.1343 57:25:17 -2.23231097408E+06 -2.23194596910E+06  0.03823  0.04251 -0.04679 -0.00929 -0.01917  0.11640  0.11075  0.15206  0.13064  0.15306
5   4   1     800  32.6805 58:25:17 -2.21588315124E+06 -2.20134556592E+06  0.03823  0.04251 -0.00929 -0.04679 -0.01917  0.11640  0.11075  0.13064  0.15206  0.15306
5   4   1    1600  29.7464 59:25:17 -2.20253645760E+06 -2.20134556592E+06  0.03823 -0.00929 -0.04679 -0.01917  0.04251  0.11640  0.13064  0.15206  0.15306  0.11075
5   4   2    1700  31.4286 59:25:17 -2.20770854423E+06 -2.20134556592E+06  0.17900  0.15257  0.14215  0.12232  0.14075  0.00835  0.01250  0.02616  0.03003  0.02168
5   4   2    3200  30.7643 01:26:17 -2.20652147160E+06 -2.20080737748E+06  0.17900  0.15257  0.14215  0.12232  0.14075  0.00835  0.01250  0.02616  0.03003  0.02168
5   4   3    3300   4.5455 01:26:17 -2.20498041104E+06 -2.20080737748E+06  0.17900  0.15257  0.14215  0.14075  0.12232  0.00835  0.01250  0.02616  0.02168  0.03003
5   4   3    4800  25.5918 03:26:17 -2.20758208161E+06 -2.20080737748E+06  0.17869  0.14439  0.15429  0.13649  0.12046  0.00835  0.01809  0.02109  0.01789  0.03805
5   4   4    6400  20.7500 05:26:17 -2.19284423016E+06 -2.19215825966E+06  0.17911  0.15284  0.14138  0.11783  0.14707  0.00835  0.02485  0.02364  0.03135  0.01464
5   4   5    6500   6.9444 05:26:17 -2.19317753581E+06 -2.19215825966E+06  0.17911  0.15284  0.14138  0.11783  0.14707  0.00835  0.02485  0.02364  0.03135  0.01464
5   4   6    7900  16.3636 07:26:17 -2.20066494757E+06 -2.19050827279E+06  0.15183  0.11622  0.11572  0.08967  0.10255  0.00817  0.00988  0.01981  0.03516  0.03545
5   4   7    9400  24.1379 09:26:17 -2.19948703300E+06 -2.19050827279E+06  0.15081  0.15265  0.11689  0.08760  0.11260  0.01091  0.00529  0.01981  0.03662  0.01888
5   4   7   10900  23.4043 11:26:17 -2.20076144934E+06 -2.19050827279E+06  0.14927  0.15496  0.11586  0.11409  0.09116  0.00056  0.01381  0.01981  0.02266  0.02703
5   4   9   12400  20.4918 13:26:17 -2.20053183188E+06 -2.19050827279E+06  0.15016  0.16088  0.11898  0.10588  0.11207  0.00434  0.01030  0.01981  0.01724  0.02627
5   4   9   12800  18.4348 13:26:17 -2.20100696545E+06 -2.19050827279E+06  0.16088  0.15016  0.11898  0.10588  0.11207  0.01030  0.00434  0.01981  0.01724  0.02627
5   4  10   13900  18.1818 15:26:17 -2.19816170983E+06 -2.19050827279E+06  0.14796  0.15565  0.11630  0.09973  0.11016  0.00445  0.00983  0.01981  0.01405  0.03027
5   4  11   15400  15.3846 17:26:17 -2.19831099660E+06 -2.19050827279E+06  0.15537  0.14928  0.11653  0.09360  0.11142  0.01230  0.00244  0.01981  0.02044  0.02782
5   4  12   16800  11.9355 19:26:17 -2.20104157653E+06 -2.19050827279E+06  0.15562  0.14740  0.11639  0.11137  0.10656  0.01229  0.00372  0.01981  0.01543  0.02537
5   4  13   18200  11.4007 21:26:17 -2.19887985506E+06 -2.19050827279E+06  0.15384  0.15101  0.11691  0.08632  0.11831  0.00922  0.00672  0.01981  0.02380  0.02378
5   4  14   19600  11.3433 23:26:17 -2.19823410740E+06 -2.19050827279E+06  0.15384  0.15101  0.11691  0.08632  0.11831  0.00922  0.00672  0.01981  0.02380  0.02378
5   4  14   20700  10.7275 25:26:17 -2.19946273084E+06 -2.19050827279E+06  0.15967  0.14638  0.11622  0.09965  0.11007  0.00967  0.00414  0.01981  0.01405  0.03027
5   4  15   22100  10.8947 27:26:17 -2.19796647916E+06 -2.19050827279E+06  0.15587  0.14753  0.11698  0.11197  0.10715  0.01450  0.00060  0.01981  0.01543  0.02537
5   4  17   23500   6.2500 29:26:17 -2.19836415850E+06 -2.19050827279E+06  0.15094  0.15271  0.11598  0.10631  0.10160  0.00306  0.01685  0.01981  0.02171  0.02655
5   4  17   24800  10.9415 31:26:17 -2.19736598059E+06 -2.19050827279E+06  0.14533  0.15763  0.11605  0.09948  0.10990  0.00632  0.01159  0.01981  0.01405  0.03027
5   4  18   25600   8.3805 32:26:17 -2.19797741598E+06 -2.19050827279E+06  0.15763  0.14533  0.11605  0.09948  0.10990  0.01159  0.00632  0.01981  0.01405  0.03027
5   4  18   26200   9.3612 33:26:17 -2.19725594725E+06 -2.19050827279E+06  0.14533  0.15763  0.11605  0.09948  0.10990  0.00632  0.01159  0.01981  0.01405  0.03027
5   4  19   27500   6.7476 35:26:17 -2.19811668141E+06 -2.19050827279E+06  0.15928  0.14760  0.11616  0.09959  0.11001  0.00215  0.01303  0.01981  0.01405  0.03027
5   4  20   28900   5.6916 37:26:17 -2.19782207490E+06 -2.19050827279E+06  0.15086  0.15602  0.11611  0.09954  0.10996  0.00498  0.00929  0.01981  0.01405  0.03027
5   4  21   30200   5.2334 39:26:17 -2.19718835572E+06 -2.19050827279E+06  0.15367  0.14941  0.11618  0.09961  0.11003  0.00892  0.00706  0.01981  0.01405  0.03027
5   4  22   31500   3.1397 41:26:17 -2.19734431753E+06 -2.19050827279E+06  0.16079  0.14751  0.11738  0.10722  0.11217  0.00967  0.00414  0.01981  0.00912  0.02761
5   4  23   32900   4.6603 43:26:17 -2.19738466627E+06 -2.19050827279E+06  0.16079  0.14751  0.11738  0.10722  0.11217  0.00967  0.00414  0.01981  0.00912  0.02761
5   4  24   34100   4.1070 45:26:17 -2.19718943880E+06 -2.19050827279E+06  0.14348  0.16205  0.11636  0.09979  0.11021  0.00463  0.00833  0.01981  0.01405  0.03027
5   4  25   35400   2.6316 47:26:17 -2.19725487124E+06 -2.19050827279E+06  0.14751  0.16079  0.11738  0.10722  0.11217  0.00414  0.00967  0.01981  0.00912  0.02761
5   4 200   35983   0.0000 48:26:17 -2.19050827279E+06 -2.19050827279E+06  0.14751  0.11738  0.11217  0.10722  0.16079  0.00414  0.01981  0.02761  0.00912  0.00967
