K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   6   1       0   1.0000 18:11:17 -2.42316232302E+06 -2.42316232302E+06  0.06851 -0.01673 -0.01630  0.09026  0.13071  0.15375
3   6   1     100   3.7736 18:11:17 -2.40845026155E+06 -2.40845026155E+06  0.06851 -0.01673 -0.01630  0.09026  0.13071  0.15375
3   6   1     200  32.0755 18:11:17 -2.38955999043E+06 -2.31570231341E+06  0.06851 -0.01673 -0.01630  0.09026  0.13071  0.15375
3   6   1     400  38.5922 18:11:17 -2.25274819398E+06 -2.25274819398E+06 -0.01673  0.06851 -0.01630  0.13071  0.09026  0.15375
3   6   1     800  33.2512 19:11:17 -2.19812378963E+06 -2.19399748550E+06 -0.01673  0.06851 -0.01630  0.13071  0.09026  0.15375
3   6   2    1600   3.7889 19:11:17 -2.18441366988E+06 -2.18441366988E+06  0.18977  0.17152  0.14736  0.02212  0.01981  0.03040
3   6   3    1900   0.9615 20:11:17 -2.18441366988E+06 -2.18441366988E+06  0.17318  0.17104  0.14743  0.03820  0.01981  0.02322
3   6   4    3200   1.5625 20:11:17 -2.18441366988E+06 -2.18441366988E+06  0.16309  0.17075  0.14657  0.03855  0.01981  0.02874
3   6 200    3899   0.0000 21:11:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
