K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   7   1       0   1.0000 43:11:17 -2.44616197078E+06 -2.44616197078E+06  0.01844 -0.02761  0.00349  0.10766  0.15227  0.14001
3   7   1     100   5.5556 44:11:17 -2.44179340396E+06 -2.44179340396E+06  0.01844  0.00349 -0.02761  0.10766  0.14001  0.15227
3   7   1     200  21.1982 44:11:17 -2.21474840869E+06 -2.20479176177E+06  0.00349  0.01844 -0.02761  0.14001  0.10766  0.15227
3   7   1     400  25.5370 44:11:17 -2.22836852974E+06 -2.20479176177E+06  0.01844  0.00349 -0.02761  0.10766  0.14001  0.15227
3   7   1     800  27.5946 44:11:17 -2.21156865750E+06 -2.20479176177E+06  0.00349  0.01844 -0.02761  0.14001  0.10766  0.15227
3   7   2    1100   7.9137 45:11:17 -2.19328301531E+06 -2.19328301531E+06  0.14649  0.16959  0.15143  0.03731  0.01981  0.04048
3   7   2    1600   6.0440 45:11:17 -2.18793391725E+06 -2.18441366988E+06  0.14649  0.16959  0.15143  0.03731  0.01981  0.04048
3   7   6    3200   0.0000 46:11:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
3   7   6    3700   0.2890 47:11:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
3   7 200    4222   0.0000 47:11:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
