K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   9   1       0   1.0000 34:12:17 -2.44072389130E+06 -2.44072389130E+06  0.01494  0.03553 -0.04527  0.13693  0.11079  0.14754
3   9   1     100   4.5045 34:12:17 -2.39785933453E+06 -2.39785933453E+06  0.03553  0.01494 -0.04527  0.11079  0.13693  0.14754
3   9   1     200  25.8216 34:12:17 -2.26379471708E+06 -2.26379471708E+06  0.01494  0.03553 -0.04527  0.13693  0.11079  0.14754
3   9   1     400  21.6867 34:12:17 -2.19470408383E+06 -2.19380962996E+06  0.01494 -0.04527  0.03553  0.13693  0.14754  0.11079
3   9   1     800  27.6236 35:12:17 -2.23557041213E+06 -2.19237404511E+06  0.03553  0.01494 -0.04527  0.11079  0.13693  0.14754
3   9   2    1400  18.2731 36:12:17 -2.23600138474E+06 -2.19237404511E+06  0.14970  0.17302  0.17093  0.03163  0.02919  0.01981
3   9   2    1600  24.4726 36:12:17 -2.23309893098E+06 -2.19237404511E+06  0.14970  0.17302  0.17093  0.03163  0.02919  0.01981
3   9   4    3200  20.2073 37:12:17 -2.24021000180E+06 -2.18441366988E+06  0.08754  0.14063  0.17840  0.07522  0.05507  0.02054
3   9   4    3300  24.4353 38:12:17 -2.21819728585E+06 -2.18441366988E+06  0.14063  0.08754  0.17840  0.05507  0.07522  0.02054
3   9   6    5200   3.5514 40:12:17 -2.20210705063E+06 -2.18441366988E+06  0.12931  0.17237  0.17255  0.04723  0.01981  0.03192
3   9   7    6400  26.1818 41:12:17 -2.21653914605E+06 -2.18441366988E+06  0.12675  0.13916  0.16888  0.04768  0.05368  0.01981
3   9   8    7100  12.1835 42:12:17 -2.20790786183E+06 -2.18441366988E+06  0.13916  0.16888  0.12675  0.05368  0.01981  0.04768
3   9  11    9200   1.9718 44:12:17 -2.19519405261E+06 -2.18441366988E+06  0.14890  0.19299  0.17130  0.02962  0.01944  0.01981
3   9 200    9920   0.0000 44:12:17 -2.18441366988E+06 -2.18441366988E+06  0.19299  0.17130  0.14890  0.01944  0.01981  0.02962
