K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   7   1       0   1.0000 00:08:17 -2.43290751727E+06 -2.43290751727E+06  0.06101 -0.01793  0.10002  0.14295
2   7   1     100   0.0000 00:08:17 -2.43290751727E+06 -2.43290751727E+06  0.06101 -0.01793  0.10002  0.14295
2   7   1     200  36.5000 00:08:17 -2.39314580973E+06 -2.37786523895E+06 -0.01793  0.06101  0.14295  0.10002
2   7   1     400  49.5000 00:08:17 -2.40709228739E+06 -2.29268432386E+06 -0.01793  0.06101  0.14295  0.10002
2   7   2     800  26.4286 00:08:17 -2.31205217611E+06 -2.26674588425E+06  0.17374  0.00669  0.05530  0.13075
2   7   3    1600   9.2857 01:08:17 -2.26209692755E+06 -2.23902044762E+06  0.18355  0.07638  0.05183  0.10584
2   7   4    2000   0.0000 02:08:17 -2.23902044762E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
2   7   5    3200   4.0336 03:08:17 -2.23902044762E+06 -2.23902044762E+06  0.18239  0.14698  0.05783  0.07001
2   7 200    3455   0.0000 03:08:17 -2.23902044762E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
