K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   2   1       0   1.0000 34:14:17 -2.44863977446E+06 -2.44863977446E+06 -0.03683 -0.01534  0.01433 -0.00678  0.14527  0.13081  0.13841  0.14582
4   2   1     100   4.6729 34:14:17 -2.41984444205E+06 -2.41984444205E+06  0.01433 -0.01534 -0.00678 -0.03683  0.13841  0.13081  0.14582  0.14527
4   2   1     200  17.9245 34:14:17 -2.24455296660E+06 -2.24455296660E+06 -0.01534 -0.03683 -0.00678  0.01433  0.13081  0.14527  0.14582  0.13841
4   2   1     400  23.6842 35:14:17 -2.24150880838E+06 -2.23089705405E+06 -0.01534 -0.00678 -0.03683  0.01433  0.13081  0.14582  0.14527  0.13841
4   2   1     800  30.3178 35:14:17 -2.21424717814E+06 -2.20375286135E+06  0.01433 -0.01534 -0.03683 -0.00678  0.13841  0.13081  0.14527  0.14582
4   2   1    1200  28.1609 36:14:17 -2.19034085314E+06 -2.18315520887E+06 -0.01534 -0.03683  0.01433 -0.00678  0.13081  0.14527  0.13841  0.14582
4   2   2    1600  21.0983 36:14:17 -2.18922205612E+06 -2.18315520887E+06  0.17559  0.13721  0.10405  0.10996  0.01125  0.01981  0.02950  0.04156
4   2   3    2900  10.0365 38:14:17 -2.18981943575E+06 -2.18308869957E+06  0.17091  0.13493  0.11213  0.12783  0.00835  0.01981  0.02090  0.03126
4   2   3    3200  11.8889 38:14:17 -2.18906779843E+06 -2.18308869957E+06  0.17091  0.13493  0.12783  0.11213  0.00835  0.01981  0.03126  0.02090
4   2   4    4600  14.1586 40:14:17 -2.19848482416E+06 -2.18308869957E+06  0.17109  0.12417  0.13511  0.11838  0.00835  0.03235  0.01981  0.01834
4   2   6    6300  15.7303 42:14:17 -2.18972799954E+06 -2.18308869957E+06  0.17207  0.13612  0.11960  0.10057  0.00835  0.01981  0.02125  0.04737
4   2   6    6400  14.6143 42:14:17 -2.18642120810E+06 -2.18308869957E+06  0.17345  0.13755  0.12370  0.13024  0.00835  0.01981  0.01724  0.02627
4   2   7    7900  12.3786 44:14:17 -2.18701574107E+06 -2.18308869957E+06  0.17063  0.13464  0.13457  0.10595  0.00835  0.01981  0.02826  0.02571
4   2   9    9500   6.4516 46:14:17 -2.18345278789E+06 -2.18308869957E+06  0.17396  0.13808  0.16678  0.12923  0.00835  0.01981  0.00359  0.02346
4   2  11   11300   5.7692 48:14:17 -2.18557247821E+06 -2.18308869957E+06  0.17117  0.13520  0.12000  0.12498  0.00835  0.01981  0.02655  0.02171
4   2  12   12800   5.7866 49:14:17 -2.18397532220E+06 -2.18308869957E+06  0.17165  0.13569  0.11819  0.12920  0.00835  0.01981  0.01405  0.03027
4   2  12   13100   5.6044 50:14:17 -2.18422554131E+06 -2.18308869957E+06  0.17165  0.13569  0.11819  0.12920  0.00835  0.01981  0.01405  0.03027
4   2  14   14900   5.6680 52:14:17 -2.18450902073E+06 -2.18308869957E+06  0.17131  0.13534  0.10482  0.13037  0.00835  0.01981  0.03135  0.02364
4   2  15   16600   4.2570 54:14:17 -2.18345278789E+06 -2.18308869957E+06  0.17186  0.13591  0.13061  0.12552  0.00835  0.01981  0.01543  0.02537
4   2 200   16625   0.0000 54:14:17 -2.18308869957E+06 -2.18308869957E+06  0.17186  0.13591  0.12552  0.13061  0.00835  0.01981  0.02537  0.01543
