K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   5   1       0   1.0000 49:10:17 -2.43240213703E+06 -2.43240213703E+06  0.07866 -0.02695 -0.03320  0.08615  0.14348  0.15495
3   5   1     100   5.4545 49:10:17 -2.37581918229E+06 -2.37581918229E+06  0.07866 -0.03320 -0.02695  0.08615  0.15495  0.14348
3   5   1     200  14.4796 49:10:17 -2.21447520464E+06 -2.20939851913E+06  0.07866 -0.02695 -0.03320  0.08615  0.14348  0.15495
3   5   1     400  20.7589 49:10:17 -2.23944950029E+06 -2.20855422220E+06 -0.03320  0.07866 -0.02695  0.15495  0.08615  0.14348
3   5   1     800  26.2972 50:10:17 -2.23783713589E+06 -2.20350576810E+06  0.07866 -0.03320 -0.02695  0.08615  0.15495  0.14348
3   5   2    1500  11.5097 51:10:17 -2.23649242080E+06 -2.18441366988E+06  0.13361  0.12052  0.17223  0.04944  0.06114  0.01981
3   5   2    1600  11.6308 51:10:17 -2.18441367667E+06 -2.18441366988E+06  0.13361  0.17223  0.12052  0.04944  0.01981  0.06114
3   5   4    3200   4.7814 52:10:17 -2.21377961097E+06 -2.18441366988E+06  0.18625  0.14351  0.17136  0.03163  0.02625  0.01981
3   5   5    3500   1.9608 53:10:17 -2.19397038059E+06 -2.18441366988E+06  0.18625  0.17136  0.14351  0.03163  0.01981  0.02625
3   5   8    5900   3.0769 55:10:17 -2.19276524983E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
3   5   8    6400   1.9330 55:10:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
3   5 200    6806   0.0000 55:10:17 -2.18441366988E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
