K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   8   1       0   1.0000 34:19:17 -2.41277908662E+06 -2.41277908662E+06 -0.03288  0.04396 -0.00604  0.05152  0.13452  0.12081  0.14284  0.09777
4   8   1     100   4.7170 34:19:17 -2.35826161036E+06 -2.35826161036E+06  0.05152  0.04396 -0.00604 -0.03288  0.09777  0.12081  0.14284  0.13452
4   8   1     200  23.6967 34:19:17 -2.22942486171E+06 -2.21943933927E+06  0.04396  0.05152 -0.00604 -0.03288  0.12081  0.09777  0.14284  0.13452
4   8   1     400  32.8467 34:19:17 -2.22481149339E+06 -2.20415825346E+06  0.05152 -0.00604 -0.03288  0.04396  0.09777  0.14284  0.13452  0.12081
4   8   1     800  36.4982 35:19:17 -2.22026844793E+06 -2.20415825346E+06  0.05152 -0.00604  0.04396 -0.03288  0.09777  0.14284  0.12081  0.13452
4   8   2    1500  24.0385 36:19:17 -2.21563941499E+06 -2.19056299995E+06  0.14977  0.10350  0.13887  0.08344  0.02850  0.04852  0.01981  0.05297
4   8   2    1600  26.9481 36:19:17 -2.21175491779E+06 -2.19056299995E+06  0.14977  0.08344  0.10350  0.13887  0.02850  0.05297  0.04852  0.01981
4   8   3    3200  27.6316 37:19:17 -2.19917687169E+06 -2.18494449554E+06  0.09821  0.17428  0.13770  0.09480  0.03777  0.00665  0.01981  0.05867
4   8   3    3300  27.4011 38:19:17 -2.21640933995E+06 -2.18494449554E+06  0.17428  0.09480  0.13770  0.09821  0.00665  0.05867  0.01981  0.03777
4   8   4    5000  26.5511 40:19:17 -2.21659915455E+06 -2.18445895311E+06  0.09481  0.11153  0.13767  0.17466  0.05706  0.03333  0.01981  0.00918
4   8   5    6400  22.9397 41:19:17 -2.18738217087E+06 -2.18445895311E+06  0.17018  0.13418  0.09696  0.14056  0.00835  0.01981  0.02500  0.03264
4   8   6    6700  16.4773 42:19:17 -2.19013441463E+06 -2.18445895311E+06  0.17018  0.13418  0.14056  0.09696  0.00835  0.01981  0.03264  0.02500
4   8   7    8400  15.5351 44:19:17 -2.18868570362E+06 -2.18315520887E+06  0.17208  0.13614  0.11354  0.10954  0.00835  0.01981  0.03229  0.03368
4   8   9   10000  12.8788 46:19:17 -2.18766419445E+06 -2.18315520887E+06  0.17188  0.13593  0.11602  0.11507  0.00835  0.01981  0.03087  0.02887
4   8  10   11500   9.7027 48:19:17 -2.18532529270E+06 -2.18308869957E+06  0.17174  0.13579  0.10745  0.12024  0.00835  0.01981  0.03647  0.02565
4   8  11   12800  14.1026 49:19:17 -2.18532529922E+06 -2.18308869957E+06  0.17139  0.13543  0.10964  0.11699  0.00835  0.01981  0.03414  0.02759
4   8  11   13100  11.7241 50:19:17 -2.18339966153E+06 -2.18308869957E+06  0.17139  0.13543  0.10964  0.11699  0.00835  0.01981  0.03414  0.02759
4   8  13   14700   7.6453 52:19:17 -2.18517027665E+06 -2.18308869957E+06  0.17100  0.13503  0.11323  0.13130  0.00835  0.01981  0.02751  0.02193
4   8  15   16400   7.0175 54:19:17 -2.18339966153E+06 -2.18308869957E+06  0.17138  0.13542  0.09922  0.13421  0.00835  0.01981  0.04433  0.01135
4   8  16   18000   7.1802 56:19:17 -2.18370558183E+06 -2.18308869957E+06  0.17097  0.13499  0.10929  0.12929  0.00835  0.01981  0.03843  0.01276
4   8  18   19600  15.5039 58:19:17 -2.18486526370E+06 -2.18308869957E+06  0.17329  0.13738  0.12665  0.13188  0.00835  0.01981  0.00912  0.02761
4   8  19   21100   5.6319 00:20:17 -2.18345279442E+06 -2.18308869957E+06  0.17329  0.13738  0.12665  0.13188  0.00835  0.01981  0.00912  0.02761
4   8 200   21565   0.0000 00:20:17 -2.18308869957E+06 -2.18308869957E+06  0.17329  0.13738  0.13188  0.12665  0.00835  0.01981  0.02761  0.00912
