K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   1   1       0   1.0000 55:06:17 -2.45874917124E+06 -2.45874917124E+06  0.00927 -0.00764  0.12583  0.13906
2   1   1     100   0.0000 55:06:17 -2.45874917124E+06 -2.45874917124E+06  0.00927 -0.00764  0.12583  0.13906
2   1   1     200  22.5000 55:06:17 -2.46388038072E+06 -2.28611113662E+06 -0.00764  0.00927  0.13906  0.12583
2   1   1     400  39.2500 55:06:17 -2.36735384751E+06 -2.28611113662E+06 -0.00764  0.00927  0.13906  0.12583
2   1   2     800  42.1429 55:06:17 -2.40177370774E+06 -2.26483878989E+06  0.06006 -0.02223  0.11606  0.13355
2   1   3    1600  45.7143 56:06:17 -2.29714065775E+06 -2.25803841054E+06 -0.00223  0.12577  0.13780  0.07404
2   1   4    2100  41.6667 57:06:17 -2.35324847374E+06 -2.25803841054E+06 -0.01405  0.00919  0.14174  0.12604
2   1   5    3200  20.4819 58:06:17 -2.32331719360E+06 -2.23902044762E+06  0.17313 -0.00167  0.05782  0.13330
2   1   7    4300   4.1284 59:06:17 -2.23902044762E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
2   1 200    4401   0.0000 59:06:17 -2.23902044762E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
