K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   7   1       0   1.0000 48:18:17 -2.43085797482E+06 -2.43085797482E+06  0.06002 -0.03364  0.00380 -0.03094  0.10645  0.15682  0.14091  0.12439
4   7   1     100   2.9126 48:18:17 -2.40906896170E+06 -2.40906896170E+06  0.06002  0.00380 -0.03364 -0.03094  0.10645  0.14091  0.15682  0.12439
4   7   1     200  16.2791 48:18:17 -2.22932604916E+06 -2.22932604916E+06  0.00380 -0.03364  0.06002 -0.03094  0.14091  0.15682  0.10645  0.12439
4   7   1     400  11.5909 48:18:17 -2.21212756578E+06 -2.21093132254E+06  0.00380 -0.03364  0.06002 -0.03094  0.14091  0.15682  0.10645  0.12439
4   7   1     800  11.6408 49:18:17 -2.18843670262E+06 -2.18326524928E+06  0.00380 -0.03364 -0.03094  0.06002  0.14091  0.15682  0.12439  0.10645
4   7   2    1600  17.5803 49:18:17 -2.20894727760E+06 -2.18308869957E+06  0.17182  0.10769  0.11857  0.13587  0.00835  0.02513  0.03605  0.01981
4   7   2    1700  18.7404 50:18:17 -2.18955004567E+06 -2.18308869957E+06  0.17182  0.13587  0.10769  0.11857  0.00835  0.01981  0.02513  0.03605
4   7   3    3200  11.5770 51:18:17 -2.18932910084E+06 -2.18308869957E+06  0.17170  0.13575  0.11964  0.10198  0.00835  0.01981  0.04348  0.02281
4   7   4    3400   5.5556 52:18:17 -2.18979557216E+06 -2.18308869957E+06  0.17170  0.13575  0.10198  0.11964  0.00835  0.01981  0.02281  0.04348
4   7   5    5000  13.3106 54:18:17 -2.18983681315E+06 -2.18308869957E+06  0.17237  0.13643  0.12877  0.10052  0.00835  0.01981  0.03544  0.02093
4   7   6    6400  12.8617 55:18:17 -2.18762713676E+06 -2.18308869957E+06  0.17160  0.13564  0.11238  0.10885  0.00835  0.01981  0.02183  0.04974
4   7   6    6700  12.6446 56:18:17 -2.18428013113E+06 -2.18308869957E+06  0.17160  0.13564  0.10885  0.11238  0.00835  0.01981  0.04974  0.02183
4   7   8    8200   9.1097 58:18:17 -2.18738773924E+06 -2.18308869957E+06  0.17204  0.13609  0.13070  0.11187  0.00835  0.01981  0.02782  0.02044
4   7  10   10000  16.2162 00:19:17 -2.18727979398E+06 -2.18308869957E+06  0.17258  0.13666  0.11930  0.10642  0.00835  0.01981  0.03198  0.03133
4   7  11   11800   7.5805 02:19:17 -2.18747915599E+06 -2.18308869957E+06  0.17138  0.13541  0.10054  0.13580  0.00835  0.01981  0.03083  0.02352
4   7  12   12800   7.8292 03:19:17 -2.18366211312E+06 -2.18308869957E+06  0.17145  0.13549  0.11939  0.11903  0.00835  0.01981  0.02988  0.02432
4   7  13   13600   4.7228 04:19:17 -2.18326524928E+06 -2.18308869957E+06  0.17145  0.13549  0.11939  0.11903  0.00835  0.01981  0.02988  0.02432
4   7  15   15400   6.5217 06:19:17 -2.18581635840E+06 -2.18308869957E+06  0.17353  0.13763  0.11837  0.13477  0.00835  0.01981  0.02643  0.01955
4   7 200   16388   0.0000 07:19:17 -2.18308869957E+06 -2.18308869957E+06  0.17353  0.13763  0.13477  0.11837  0.00835  0.01981  0.01955  0.02643
