K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   9   1       0   1.0000 35:32:17 -2.43900211301E+06 -2.43900211301E+06  0.02751 -0.00588 -0.02633 -0.01467 -0.03111  0.10476  0.12782  0.16356  0.14856  0.15247
5   9   1     100   4.5872 35:32:17 -2.41621901552E+06 -2.41621901552E+06  0.02751 -0.00588 -0.02633 -0.03111 -0.01467  0.10476  0.12782  0.16356  0.15247  0.14856
5   9   1     200  23.4450 35:32:17 -2.24539700956E+06 -2.24530804577E+06  0.02751 -0.01467 -0.02633 -0.03111 -0.00588  0.10476  0.14856  0.16356  0.15247  0.12782
5   9   1     400  24.9389 35:32:17 -2.20225573372E+06 -2.20225573372E+06  0.02751 -0.03111 -0.02633 -0.01467 -0.00588  0.10476  0.15247  0.16356  0.14856  0.12782
5   9   1     800  24.1038 36:32:17 -2.20830994812E+06 -2.20153060430E+06  0.02751 -0.03111 -0.02633 -0.00588 -0.01467  0.10476  0.15247  0.16356  0.12782  0.14856
5   9   1    1400  26.6146 37:32:17 -2.20606472273E+06 -2.20153060430E+06  0.02751 -0.03111 -0.02633 -0.01467 -0.00588  0.10476  0.15247  0.16356  0.14856  0.12782
5   9   1    1600  27.1597 37:32:17 -2.20379527586E+06 -2.20153060430E+06  0.02751 -0.02633 -0.03111 -0.01467 -0.00588  0.10476  0.16356  0.15247  0.14856  0.12782
5   9   2    3000  28.5819 39:32:17 -2.20257024503E+06 -2.20092871240E+06  0.17852  0.14420  0.14853  0.13347  0.12719  0.00835  0.01671  0.02828  0.03474  0.02251
5   9   2    3200  28.3152 39:32:17 -2.20290498840E+06 -2.20092871240E+06  0.17852  0.14853  0.14420  0.12719  0.13347  0.00835  0.02828  0.01671  0.02251  0.03474
5   9   3    4600  27.2658 41:32:17 -2.20602777180E+06 -2.20090827363E+06  0.17957  0.14912  0.14551  0.12769  0.12103  0.00835  0.01447  0.02412  0.03146  0.03260
5   9   4    6200  25.1975 43:32:17 -2.20403334045E+06 -2.20072867750E+06  0.17902  0.14184  0.15684  0.12398  0.12254  0.00835  0.01902  0.01910  0.01868  0.04212
5   9   4    6400  25.2387 43:32:17 -2.20410379834E+06 -2.20072867750E+06  0.17902  0.15684  0.14184  0.12398  0.12254  0.00835  0.01910  0.01902  0.01868  0.04212
5   9   5    7800  22.6042 45:32:17 -2.20325809786E+06 -2.20072867750E+06  0.17875  0.14423  0.15367  0.13724  0.12443  0.00835  0.01710  0.02284  0.02915  0.02458
5   9   6    9400  24.4745 47:32:17 -2.20400463800E+06 -2.20072867750E+06  0.17921  0.14606  0.15154  0.14631  0.12625  0.00835  0.01686  0.02019  0.01900  0.02987
5   9   7   11000  25.1950 49:32:17 -2.20237087646E+06 -2.20072867750E+06  0.17850  0.15391  0.14579  0.12542  0.13898  0.00835  0.01912  0.01989  0.01684  0.03508
5   9   8   12600  23.9448 51:32:17 -2.20249350913E+06 -2.20072867750E+06  0.18124  0.15393  0.14437  0.13041  0.14553  0.00835  0.02059  0.01829  0.02643  0.01955
5   9   8   12800  23.1145 51:32:17 -2.20294175233E+06 -2.20072867750E+06  0.18124  0.14437  0.15393  0.13041  0.14553  0.00835  0.01829  0.02059  0.02643  0.01955
5   9   9   14000  18.5943 53:32:17 -2.20337780085E+06 -2.20072867750E+06  0.18049  0.14379  0.15517  0.13393  0.13895  0.00835  0.01908  0.01824  0.02389  0.02315
