K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   5   1       0   1.0000 19:27:17 -2.42118983489E+06 -2.42118983489E+06 -0.03019 -0.04496 -0.01728  0.11059 -0.01134  0.15328  0.14704  0.14157  0.05690  0.15351
5   5   1     100   4.5872 19:27:17 -2.37004054101E+06 -2.37004054101E+06  0.11059 -0.01728 -0.04496 -0.01134 -0.03019  0.05690  0.14157  0.14704  0.15351  0.15328
5   5   1     200  18.0995 19:27:17 -2.20946936564E+06 -2.20911007541E+06  0.11059 -0.03019 -0.01728 -0.04496 -0.01134  0.05690  0.15328  0.14157  0.14704  0.15351
5   5   1     400  25.5869 20:27:17 -2.20307945065E+06 -2.20232245991E+06  0.11059 -0.03019 -0.01728 -0.04496 -0.01134  0.05690  0.15328  0.14157  0.14704  0.15351
5   5   1     800  26.8765 20:27:17 -2.20548531232E+06 -2.20133696723E+06  0.11059 -0.01728 -0.03019 -0.01134 -0.04496  0.05690  0.14157  0.15328  0.15351  0.14704
5   5   1    1200  27.1615 21:27:17 -2.21685670690E+06 -2.20133696723E+06  0.11059 -0.01134 -0.03019 -0.01728 -0.04496  0.05690  0.15351  0.15328  0.14157  0.14704
5   5   1    1600  27.4908 21:27:17 -2.21295364545E+06 -2.20133696723E+06  0.11059 -0.04496 -0.03019 -0.01728 -0.01134  0.05690  0.14704  0.15328  0.14157  0.15351
5   5   2    2800  31.7487 23:27:17 -2.20861978484E+06 -2.20133143654E+06  0.18198  0.14354  0.15526  0.10951  0.12688  0.01061  0.02108  0.01662  0.05109  0.02699
5   5   2    3200  32.2560 23:27:17 -2.20662449134E+06 -2.20133143654E+06  0.18198  0.15526  0.14354  0.10951  0.12688  0.01061  0.01662  0.02108  0.05109  0.02699
5   5   3    4400  27.7482 25:27:17 -2.20387695529E+06 -2.20133143654E+06  0.17888  0.14938  0.14364  0.13554  0.12397  0.00835  0.01856  0.02082  0.01920  0.03591
5   5   4    6000  26.9542 27:27:17 -2.20290113504E+06 -2.20085650167E+06  0.17855  0.14095  0.15852  0.12857  0.13171  0.00835  0.01934  0.01739  0.02310  0.03173
5   5   4    6400  26.2393 27:27:17 -2.20572636178E+06 -2.20085650167E+06  0.17855  0.15852  0.14095  0.12857  0.13171  0.00835  0.01739  0.01934  0.02310  0.03173
5   5   5    7600  24.1347 29:27:17 -2.20700971229E+06 -2.20085650167E+06  0.17982  0.14721  0.15159  0.12635  0.12601  0.00835  0.02152  0.01444  0.02200  0.04661
5   5   6    9200  21.8360 31:27:17 -2.20455946197E+06 -2.20085650167E+06  0.17893  0.14217  0.15356  0.12285  0.14185  0.00835  0.01908  0.01824  0.01676  0.03542
5   5   7   10700  18.0743 33:27:17 -2.20135286722E+06 -2.20085650167E+06  0.18064  0.15387  0.14675  0.13596  0.13732  0.00835  0.01847  0.02485  0.02656  0.02319
5   5   8   12300  20.4783 35:27:17 -2.20368007859E+06 -2.20085650167E+06  0.17874  0.15360  0.14803  0.11949  0.14076  0.00835  0.01218  0.02287  0.03991  0.01161
5   5   9   12800  18.1132 35:27:17 -2.20292345403E+06 -2.20085650167E+06  0.17874  0.15360  0.14803  0.14076  0.11949  0.00835  0.01218  0.02287  0.01161  0.03991
5   5   9   13800  18.0939 37:27:17 -2.20254204226E+06 -2.20085650167E+06  0.17882  0.15148  0.14505  0.13107  0.12905  0.00835  0.00972  0.02697  0.02670  0.02750
5   5  10   15200  18.3138 39:27:17 -2.20207393988E+06 -2.20079518595E+06  0.17930  0.14842  0.14591  0.13006  0.13563  0.00835  0.01753  0.02486  0.02486  0.02555
5   5  11   16600  16.8831 41:27:17 -2.20348791157E+06 -2.20079518595E+06  0.17923  0.15482  0.14598  0.12898  0.13388  0.00835  0.02344  0.01403  0.03829  0.01680
5   5  12   18100  15.9794 43:27:17 -2.20165407759E+06 -2.20072868354E+06  0.17923  0.15482  0.14598  0.12898  0.13388  0.00835  0.02344  0.01403  0.03829  0.01680
5   5  13   19400  14.4251 45:27:17 -2.20133546748E+06 -2.20072868354E+06  0.17974  0.15407  0.14573  0.14173  0.13704  0.00835  0.02265  0.01686  0.01543  0.02537
5   5  14   20800  15.0890 47:27:17 -2.20264480942E+06 -2.20072868354E+06  0.17944  0.14000  0.15861  0.14142  0.13673  0.00835  0.01567  0.02498  0.01543  0.02537
5   5  15   22200  12.7932 49:27:17 -2.20113081663E+06 -2.20072868354E+06  0.18117  0.14254  0.15615  0.13820  0.14302  0.00835  0.01354  0.02352  0.00912  0.02761
5   5  16   23600  12.3652 51:27:17 -2.20224080198E+06 -2.20072868354E+06  0.18117  0.15034  0.15339  0.11833  0.14945  0.00835  0.01905  0.02044  0.02380  0.02378
5   5  17   24900  12.4514 53:27:17 -2.20146161360E+06 -2.20072868354E+06  0.18123  0.15798  0.14466  0.13040  0.14552  0.00835  0.01977  0.02377  0.02643  0.01955
5   5  18   25600  14.2241 54:27:17 -2.20119856663E+06 -2.20072868354E+06  0.18123  0.14466  0.15798  0.13040  0.14552  0.00835  0.02377  0.01977  0.02643  0.01955
5   5  18   26300  12.1073 55:27:17 -2.20097007037E+06 -2.20072867750E+06  0.18123  0.15798  0.14466  0.13040  0.14552  0.00835  0.01977  0.02377  0.02643  0.01955
5   5  19   27600   9.9502 57:27:17 -2.20110852673E+06 -2.20072867750E+06  0.18097  0.15294  0.14753  0.13799  0.14282  0.00835  0.01650  0.02020  0.00912  0.02761
5   5  20   28900  10.1436 59:27:17 -2.20087387988E+06 -2.20072867750E+06  0.17994  0.14762  0.14832  0.14194  0.13726  0.00835  0.02409  0.01500  0.01543  0.02537
5   5  21   30200   8.1592 01:28:17 -2.20195373618E+06 -2.20072867750E+06  0.17948  0.14865  0.14846  0.13021  0.14036  0.00835  0.02069  0.02027  0.01405  0.03027
5   5  22   31500   7.5171 03:28:17 -2.20157731670E+06 -2.20072867750E+06  0.17974  0.15407  0.14573  0.14173  0.13704  0.00835  0.02265  0.01686  0.01543  0.02537
5   5  23   32800   9.4612 05:28:17 -2.20112894019E+06 -2.20072867750E+06  0.17974  0.15407  0.14573  0.14173  0.13704  0.00835  0.02265  0.01686  0.01543  0.02537
5   5  24   34200   6.9409 07:28:17 -2.20115123087E+06 -2.20072867750E+06  0.17965  0.14703  0.15141  0.12449  0.14340  0.00835  0.02152  0.01444  0.02721  0.02075
5   5  25   35500   7.5385 09:28:17 -2.20146064171E+06 -2.20072867750E+06  0.17953  0.15059  0.14523  0.13027  0.14041  0.00835  0.01708  0.02401  0.01405  0.03027
5   5  26   36800   6.5099 11:28:17 -2.20103657881E+06 -2.20072867750E+06  0.18098  0.16015  0.14319  0.13800  0.14283  0.00835  0.01696  0.01799  0.00912  0.02761
5   5  27   38100   6.1321 13:28:17 -2.20114960564E+06 -2.20072867750E+06  0.17957  0.14556  0.15120  0.13030  0.14045  0.00835  0.02246  0.01495  0.01405  0.03027
5   5  28   39400   0.9868 15:28:17 -2.20080737748E+06 -2.20072867750E+06  0.17957  0.14556  0.15120  0.13030  0.14045  0.00835  0.02246  0.01495  0.01405  0.03027
5   5 200   40568   0.0000 16:28:17 -2.20072867750E+06 -2.20072867750E+06  0.17992  0.15156  0.14593  0.14192  0.13723  0.00835  0.01495  0.02246  0.01543  0.02537
