K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   2   1       0   1.0000 41:23:17 -2.44310247624E+06 -2.44310247624E+06 -0.03472 -0.00735 -0.02183  0.01543 -0.01794  0.14859  0.14126  0.16326  0.10505  0.15280
5   2   1     100   3.8835 41:23:17 -2.42877190271E+06 -2.42815216926E+06  0.01543 -0.01794 -0.00735 -0.03472 -0.02183  0.10505  0.15280  0.14126  0.14859  0.16326
5   2   1     200  24.8780 41:23:17 -2.22804916047E+06 -2.22553665342E+06 -0.01794 -0.00735 -0.03472 -0.02183  0.01543  0.15280  0.14126  0.14859  0.16326  0.10505
5   2   1     400  29.8765 41:23:17 -2.20811899310E+06 -2.20251385436E+06 -0.01794 -0.00735 -0.03472  0.01543 -0.02183  0.15280  0.14126  0.14859  0.10505  0.16326
5   2   1     800  29.0683 42:23:17 -2.20888963056E+06 -2.20251385436E+06 -0.01794 -0.00735 -0.03472  0.01543 -0.02183  0.15280  0.14126  0.14859  0.10505  0.16326
5   2   1    1300  31.4176 43:23:17 -2.21944418040E+06 -2.20050000616E+06  0.01543 -0.01794 -0.02183 -0.03472 -0.00735  0.10505  0.15280  0.16326  0.14859  0.14126
5   2   1    1600  31.7757 43:23:17 -2.21917227728E+06 -2.20050000616E+06 -0.01794 -0.02183  0.01543 -0.03472 -0.00735  0.15280  0.16326  0.10505  0.14859  0.14126
5   2   2    2900  31.3944 45:23:17 -2.20203348153E+06 -2.19871445068E+06  0.12295  0.14426  0.11651  0.09445  0.10849  0.04406  0.00231  0.01981  0.03144  0.02177
5   2   2    3200  31.3183 45:23:17 -2.21825516437E+06 -2.19871445068E+06  0.14426  0.12295  0.11651  0.09445  0.10849  0.00231  0.04406  0.01981  0.03144  0.02177
5   2   3    4500  30.3808 47:23:17 -2.20429955996E+06 -2.19871445068E+06  0.10219  0.08376  0.11740  0.09722  0.15323  0.04802  0.03365  0.01981  0.03547  0.01119
5   2   4    6100  29.5945 49:23:17 -2.20378179399E+06 -2.19848617409E+06  0.15418  0.14748  0.11667  0.08376  0.10162  0.00690  0.01009  0.01981  0.05279  0.01634
5   2   4    6400  29.4037 49:23:17 -2.20475529979E+06 -2.19848617409E+06  0.14748  0.15418  0.11667  0.08376  0.10162  0.01009  0.00690  0.01981  0.05279  0.01634
5   2   5    7700  27.1100 51:23:17 -2.20242654160E+06 -2.19769563765E+06  0.11571  0.16038  0.11643  0.11819  0.09986  0.02802  0.00717  0.01981  0.02571  0.01405
5   2   6    9300  24.5770 53:23:17 -2.20424178018E+06 -2.19103956475E+06  0.14799  0.09052  0.11648  0.15753  0.09561  0.01126  0.03623  0.01981  0.00483  0.03185
5   2   7   10700  14.6692 55:23:17 -2.19521146599E+06 -2.19103956475E+06  0.14825  0.11415  0.10238  0.09080  0.10021  0.00835  0.01981  0.03251  0.01951  0.05089
5   2   8   12200  12.4132 57:23:17 -2.19929499244E+06 -2.19103956475E+06  0.14830  0.11420  0.10564  0.14147  0.11012  0.00835  0.01981  0.03402  0.00359  0.01147
5   2   9   12800  14.0777 57:23:17 -2.19280075724E+06 -2.19076003763E+06  0.14830  0.11420  0.14147  0.11012  0.10564  0.00835  0.01981  0.00359  0.01147  0.03402
5   2   9   13700  12.9860 59:23:17 -2.19724426507E+06 -2.19076003763E+06  0.14780  0.11369  0.10981  0.11638  0.09100  0.00835  0.01981  0.00835  0.02786  0.03763
5   2  10   15100   9.3344 01:24:17 -2.19297200606E+06 -2.19050826637E+06  0.14936  0.11529  0.14254  0.11848  0.10345  0.00835  0.01981  0.00359  0.02857  0.01894
5   2  11   16600   6.2107 03:24:17 -2.19439396174E+06 -2.19050826310E+06  0.14964  0.11558  0.14283  0.11237  0.16754  0.00835  0.01981  0.00359  0.02035  0.02211
5   2  12   18100   8.9735 05:24:17 -2.19540174320E+06 -2.19050826310E+06  0.14964  0.11558  0.14283  0.16754  0.11237  0.00835  0.01981  0.00359  0.02211  0.02035
5   2  14   19600   3.7500 07:24:17 -2.19252683031E+06 -2.19050826310E+06  0.14773  0.11362  0.14091  0.11008  0.11699  0.00835  0.01981  0.00359  0.02193  0.01390
5   2  15   21200   6.4140 09:24:17 -2.19181415228E+06 -2.19050826310E+06  0.14815  0.11404  0.14132  0.10637  0.10943  0.00835  0.01981  0.00359  0.01889  0.02709
5   2  16   22700   6.8750 11:24:17 -2.19103957135E+06 -2.19050826310E+06  0.14852  0.11443  0.14170  0.11467  0.11617  0.00835  0.01981  0.00359  0.01900  0.01639
5   2  17   24300   5.3073 13:24:17 -2.19053969418E+06 -2.19050826310E+06  0.14817  0.11406  0.14134  0.10243  0.11517  0.00835  0.01981  0.00359  0.01711  0.02807
5   2  18   25600   2.8213 14:24:17 -2.19050826310E+06 -2.19050826310E+06  0.14832  0.11422  0.14149  0.10887  0.10938  0.00835  0.01981  0.00359  0.02230  0.02474
5   2  18   25800   3.0787 15:24:17 -2.19103957135E+06 -2.19050826310E+06  0.14832  0.11422  0.14149  0.10887  0.10938  0.00835  0.01981  0.00359  0.02230  0.02474
5   2 200   26443   0.0000 15:24:17 -2.19050826310E+06 -2.19050826310E+06  0.14773  0.11362  0.14091  0.11008  0.11699  0.00835  0.01981  0.00359  0.02193  0.01390
