K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3  10   1       0   1.0000 07:13:17 -2.45799633488E+06 -2.45799633488E+06  0.00794 -0.02396 -0.01105  0.14355  0.13874  0.13118
3  10   1     100   0.9901 07:13:17 -2.45261541939E+06 -2.45261541939E+06  0.00794 -0.01105 -0.02396  0.14355  0.13118  0.13874
3  10   1     200  28.2178 07:13:17 -2.32117722562E+06 -2.32117722562E+06 -0.01105 -0.02396  0.00794  0.13118  0.13874  0.14355
3  10   1     400  31.3433 07:13:17 -2.21765790043E+06 -2.21147534094E+06 -0.01105 -0.02396  0.00794  0.13118  0.13874  0.14355
3  10   1     800  28.4289 07:13:17 -2.22782690345E+06 -2.19437254487E+06 -0.02396 -0.01105  0.00794  0.13874  0.13118  0.14355
3  10   2    1600  27.3865 08:13:17 -2.23939274768E+06 -2.19437254487E+06  0.12753  0.12302  0.17267  0.06257  0.04935  0.01981
3  10   2    1800  29.2014 09:13:17 -2.22924874156E+06 -2.19437254487E+06  0.12302  0.12753  0.17267  0.04935  0.06257  0.01981
3  10   4    3200  21.5962 10:13:17 -2.20609292541E+06 -2.18793391725E+06  0.17204  0.13641  0.17177  0.02962  0.04357  0.01981
3  10   5    3700  12.5000 11:13:17 -2.19328301531E+06 -2.18793391725E+06  0.18987  0.17271  0.12559  0.02315  0.01981  0.04990
3  10   7    5800   6.4340 13:13:17 -2.19800855123E+06 -2.18441366988E+06  0.21129  0.17141  0.14499  0.00835  0.01981  0.03198
3  10   8    6400   6.0029 13:13:17 -2.19629772246E+06 -2.18441366988E+06  0.17391  0.13703  0.17207  0.03375  0.03752  0.01981
3  10 200    7235   0.0000 14:13:17 -2.18441366988E+06 -2.18441366988E+06  0.17391  0.17207  0.13703  0.03375  0.01981  0.03752
