K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   3   1       0   1.0000 15:07:17 -2.43716673925E+06 -2.43716673925E+06 -0.02863  0.06445  0.14975  0.09544
2   3   1     100   1.0000 15:07:17 -2.42780473991E+06 -2.42780473991E+06  0.06445 -0.02863  0.09544  0.14975
2   3   1     200  38.5000 15:07:17 -2.42968498349E+06 -2.40704581548E+06 -0.02863  0.06445  0.14975  0.09544
2   3   1     400  43.5000 15:07:17 -2.41118058855E+06 -2.27582064206E+06 -0.02863  0.06445  0.14975  0.09544
2   3   2     800  45.0000 15:07:17 -2.42478268348E+06 -2.27582064206E+06 -0.03474  0.02654  0.14873  0.12540
2   3   3    1600  31.4286 16:07:17 -2.39339022550E+06 -2.27582064206E+06  0.15662  0.04112  0.07615  0.10886
2   3   4    2200  30.0000 17:07:17 -2.26222107595E+06 -2.23902044762E+06  0.06356 -0.00880  0.11144  0.13088
2   3   5    3200  14.8276 17:07:17 -2.30534276258E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
2   3 200    4147   0.0000 18:07:17 -2.23902044762E+06 -2.23902044762E+06  0.18141  0.17276  0.05732  0.05430
