K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   8   1       0   1.0000 10:08:17 -2.45124200272E+06 -2.45124200272E+06 -0.02842  0.04034  0.14730  0.11319
2   8   1     100   1.0000 10:08:17 -2.44606163985E+06 -2.44606163985E+06  0.04034 -0.02842  0.11319  0.14730
2   8   1     200  34.5000 10:08:17 -2.40161911470E+06 -2.33599140735E+06 -0.02842  0.04034  0.14730  0.11319
2   8   1     400  54.2500 10:08:17 -2.34678619874E+06 -2.31334162711E+06 -0.02842  0.04034  0.14730  0.11319
2   8   2     800  24.2857 11:08:17 -2.30976415405E+06 -2.23902044762E+06  0.14796  0.14213  0.06964  0.08189
2   8   3    1600   8.5714 12:08:17 -2.26068769737E+06 -2.23902044762E+06  0.17961  0.06533  0.06062  0.10050
2   8   3    1700  10.5263 12:08:17 -2.25933922116E+06 -2.23902044762E+06  0.17961  0.06533  0.06062  0.10050
2   8   5    3200   8.6522 13:08:17 -2.23902044762E+06 -2.23902044762E+06  0.18349  0.12722  0.05691  0.07613
2   8 200    3763   0.0000 14:08:17 -2.23902044762E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
