K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   1   1       0   1.0000 36:13:17 -2.44803297664E+06 -2.44803297664E+06 -0.02585 -0.00054 -0.00569 -0.00955  0.15444  0.13993  0.12280  0.13825
4   1   1     100   0.0000 36:13:17 -2.44803297664E+06 -2.44803297664E+06 -0.02585 -0.00054 -0.00569 -0.00955  0.15444  0.13993  0.12280  0.13825
4   1   1     200  26.6990 37:13:17 -2.24897428909E+06 -2.23104906692E+06 -0.00054 -0.02585 -0.00955 -0.00569  0.13993  0.15444  0.13825  0.12280
4   1   1     400  27.5862 37:13:17 -2.22986286763E+06 -2.18814174245E+06 -0.00955 -0.00054 -0.02585 -0.00569  0.13825  0.13993  0.15444  0.12280
4   1   1     800  32.2581 37:13:17 -2.21214969241E+06 -2.18814174245E+06 -0.00955 -0.00054 -0.00569 -0.02585  0.13825  0.13993  0.12280  0.15444
4   1   1    1100  32.6401 38:13:17 -2.21345003560E+06 -2.18814174245E+06 -0.02585 -0.00955 -0.00569 -0.00054  0.15444  0.13825  0.12280  0.13993
4   1   2    1600  34.6154 38:13:17 -2.21834636975E+06 -2.18814174245E+06  0.07802  0.12677  0.13903  0.15137  0.05162  0.03563  0.01981  0.02766
4   1   3    2800  25.6983 40:13:17 -2.23144939657E+06 -2.18535010464E+06  0.17242  0.08993  0.13729  0.12127  0.00931  0.05489  0.01981  0.03142
4   1   3    3200  27.6339 40:13:17 -2.21156084014E+06 -2.18535010464E+06  0.17242  0.12127  0.13729  0.08993  0.00931  0.03142  0.01981  0.05489
4   1   4    4500  20.3675 42:13:17 -2.21279907796E+06 -2.18315520887E+06  0.11712  0.14314  0.11056  0.13752  0.04396  0.03587  0.03238  0.01981
4   1   5    6200  25.2904 44:13:17 -2.18925312251E+06 -2.18315520887E+06  0.12163  0.13747  0.16961  0.10271  0.01989  0.01981  0.00413  0.05728
4   1   5    6400  26.0045 44:13:17 -2.23572355566E+06 -2.18315520887E+06  0.11169  0.09698  0.10092  0.13829  0.04491  0.05367  0.05462  0.01981
4   1   7    7900  16.9811 46:13:17 -2.18788237135E+06 -2.18315520887E+06  0.15447  0.13491  0.11940  0.10750  0.01944  0.01981  0.05225  0.00859
4   1   8    9500  17.9514 48:13:17 -2.18524139530E+06 -2.18315520887E+06  0.17282  0.13690  0.11573  0.12174  0.00835  0.01981  0.02434  0.03166
4   1  10   11000  10.7143 50:13:17 -2.18849446595E+06 -2.18308869957E+06  0.17270  0.13666  0.11844  0.10100  0.00791  0.01981  0.02310  0.05060
4   1  11   12600  12.1088 52:13:17 -2.19038394428E+06 -2.18308869957E+06  0.17120  0.13523  0.10825  0.12399  0.00835  0.01981  0.03106  0.02589
4   1  11   12800  11.9097 52:13:17 -2.18458658188E+06 -2.18308869957E+06  0.17152  0.13556  0.11949  0.10379  0.00835  0.01981  0.01420  0.05027
4   1  12   14100  13.8168 54:13:17 -2.18942759399E+06 -2.18308869957E+06  0.17043  0.13444  0.10694  0.12283  0.00835  0.01981  0.02967  0.03164
4   1  14   15700  12.8824 56:13:17 -2.18517027012E+06 -2.18308869957E+06  0.17149  0.13553  0.12141  0.11424  0.00835  0.01981  0.01952  0.03470
4   1  15   17100   8.0113 58:13:17 -2.18345278789E+06 -2.18308869957E+06  0.17145  0.13549  0.11903  0.11939  0.00835  0.01981  0.02432  0.02988
4   1  17   18700   5.7416 00:14:17 -2.18450064821E+06 -2.18308869957E+06  0.17185  0.13590  0.11176  0.12937  0.00835  0.01981  0.03130  0.01991
4   1  18   20300   5.8559 02:14:17 -2.18397532220E+06 -2.18308869957E+06  0.17345  0.13755  0.12370  0.13024  0.00835  0.01981  0.01724  0.02627
4   1  20   21900   2.5341 04:14:17 -2.18315520887E+06 -2.18308869957E+06  0.17139  0.13543  0.11956  0.12425  0.00835  0.01981  0.01989  0.02861
4   1  21   23400   4.4118 06:14:17 -2.18432704899E+06 -2.18308869957E+06  0.17165  0.13569  0.11819  0.12920  0.00835  0.01981  0.01405  0.03027
4   1 200   24625   0.0000 07:14:17 -2.18308869957E+06 -2.18308869957E+06  0.17353  0.13763  0.13477  0.11837  0.00835  0.01981  0.01955  0.02643
