K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   9   1       0   1.0000 27:20:17 -2.44689169849E+06 -2.44689169849E+06 -0.01961 -0.02846 -0.02888  0.03311  0.14855  0.14737  0.14293  0.12365
4   9   1     100   6.4815 27:20:17 -2.43276986610E+06 -2.43276986610E+06 -0.02846 -0.02888  0.03311 -0.01961  0.14737  0.14293  0.12365  0.14855
4   9   1     200  18.1416 27:20:17 -2.20336207994E+06 -2.20185160025E+06 -0.02888 -0.01961 -0.02846  0.03311  0.14293  0.14855  0.14737  0.12365
4   9   1     400  21.0643 28:20:17 -2.20208759996E+06 -2.19466068610E+06 -0.02888 -0.01961 -0.02846  0.03311  0.14293  0.14855  0.14737  0.12365
4   9   1     800  22.5000 28:20:17 -2.19505692711E+06 -2.18396042649E+06 -0.02888  0.03311 -0.02846 -0.01961  0.14293  0.12365  0.14737  0.14855
4   9   1    1100  23.0118 29:20:17 -2.18919855483E+06 -2.18396042649E+06 -0.02888 -0.02846 -0.01961  0.03311  0.14293  0.14737  0.14855  0.12365
4   9   2    1600  20.5128 29:20:17 -2.19838910451E+06 -2.18308869957E+06  0.17285  0.11414  0.13727  0.09122  0.00826  0.03333  0.01981  0.05507
4   9   3    2800  19.1919 31:20:17 -2.19181635675E+06 -2.18308869957E+06  0.17163  0.13567  0.11632  0.10859  0.00835  0.01981  0.02111  0.03965
4   9   3    3200  18.3721 31:20:17 -2.19415852424E+06 -2.18308869957E+06  0.17163  0.10859  0.13567  0.11632  0.00835  0.03965  0.01981  0.02111
4   9   4    4500  17.0578 33:20:17 -2.18465638649E+06 -2.18308869957E+06  0.17145  0.13549  0.10956  0.11292  0.00835  0.01981  0.03791  0.02611
4   9   6    6100  14.9051 35:20:17 -2.18760553024E+06 -2.18308869957E+06  0.17196  0.13602  0.11732  0.10942  0.00835  0.01981  0.02929  0.03308
4   9   6    6400  16.2275 35:20:17 -2.18852161265E+06 -2.18308869957E+06  0.17144  0.13547  0.10796  0.11170  0.00835  0.01981  0.04687  0.02478
4   9   7    7700  16.9102 37:20:17 -2.18490668758E+06 -2.18308869957E+06  0.17304  0.13712  0.11188  0.12160  0.00835  0.01981  0.01825  0.03655
4   9   9    9300  11.3744 39:20:17 -2.18593502997E+06 -2.18308869957E+06  0.17653  0.14027  0.13171  0.08514  0.00873  0.01981  0.02697  0.05218
4   9  10   10900  11.7861 41:20:17 -2.18622545421E+06 -2.18308869957E+06  0.17142  0.13546  0.12540  0.10619  0.00835  0.01981  0.03753  0.02123
4   9  12   12400   9.0909 43:20:17 -2.18787010541E+06 -2.18308869957E+06  0.17105  0.13507  0.12819  0.11347  0.00835  0.01981  0.03508  0.01684
4   9  12   12800  11.2523 43:20:17 -2.18701543154E+06 -2.18308869957E+06  0.17164  0.13568  0.11514  0.10539  0.00835  0.01981  0.01574  0.04940
4   9  13   14000   7.3034 45:20:17 -2.18400647908E+06 -2.18308869957E+06  0.17164  0.13568  0.11514  0.10539  0.00835  0.01981  0.01574  0.04940
4   9  15   15600  10.6667 47:20:17 -2.18450902073E+06 -2.18308869957E+06  0.17139  0.13543  0.11956  0.12425  0.00835  0.01981  0.01989  0.02861
4   9  16   17300   5.2222 49:20:17 -2.18458658188E+06 -2.18308869957E+06  0.17139  0.13543  0.11956  0.12425  0.00835  0.01981  0.01989  0.02861
4   9  18   18900   5.9480 51:20:17 -2.18315520887E+06 -2.18308869957E+06  0.17186  0.13591  0.13061  0.12552  0.00835  0.01981  0.01543  0.02537
4   9  19   20600   4.5155 53:20:17 -2.18450064821E+06 -2.18308869957E+06  0.17169  0.13573  0.11301  0.12409  0.00835  0.01981  0.03324  0.02300
4   9 200   20799   0.0000 53:20:17 -2.18308869957E+06 -2.18308869957E+06  0.11301  0.13573  0.17169  0.12409  0.03324  0.01981  0.00835  0.02300
