K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2  10   1       0   1.0000 29:08:17 -2.46144590820E+06 -2.46144590820E+06 -0.02880  0.02637  0.14118  0.12733
2  10   1     100   1.0000 30:08:17 -2.45592159435E+06 -2.45592159435E+06  0.02637 -0.02880  0.12733  0.14118
2  10   1     200  33.0000 30:08:17 -2.39679315929E+06 -2.32734772943E+06  0.02637 -0.02880  0.12733  0.14118
2  10   1     400  44.7500 30:08:17 -2.27491750947E+06 -2.27491750947E+06  0.02637 -0.02880  0.12733  0.14118
2  10   2     800   5.0000 30:08:17 -2.25803841054E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
2  10   3    1200   1.3333 31:08:17 -2.23902044762E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
2  10   3    1600   8.0000 31:08:17 -2.23902044762E+06 -2.23902044762E+06  0.18128  0.08051  0.05951  0.09355
2  10 200    2678   0.0000 32:08:17 -2.23902044762E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
