K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   4   1       0   1.0000 21:16:17 -2.45104721631E+06 -2.45104721631E+06  0.00480 -0.01800 -0.02654 -0.01015  0.14146  0.14591  0.13326  0.14179
4   4   1     100   1.9802 21:16:17 -2.44754764523E+06 -2.44754764523E+06 -0.01800 -0.02654  0.00480 -0.01015  0.14591  0.13326  0.14146  0.14179
4   4   1     200  19.2308 22:16:17 -2.23495578795E+06 -2.23495578795E+06  0.00480 -0.02654 -0.01800 -0.01015  0.14146  0.13326  0.14591  0.14179
4   4   1     400  19.5900 22:16:17 -2.21043545515E+06 -2.21043545515E+06  0.00480 -0.02654 -0.01015 -0.01800  0.14146  0.13326  0.14179  0.14591
4   4   1     800  20.4900 22:16:17 -2.20102050610E+06 -2.18832511858E+06  0.00480 -0.02654 -0.01015 -0.01800  0.14146  0.13326  0.14179  0.14591
4   4   1    1000  20.6804 23:16:17 -2.18891086941E+06 -2.18811185915E+06  0.00480 -0.01015 -0.02654 -0.01800  0.14146  0.14179  0.13326  0.14591
4   4   2    1600  16.7728 23:16:17 -2.19406839213E+06 -2.18315520887E+06  0.17386  0.12051  0.13752  0.08555  0.01069  0.03023  0.01981  0.05475
4   4   3    2800  17.5141 25:16:17 -2.18934819639E+06 -2.18315520887E+06  0.17118  0.13521  0.12227  0.11376  0.00835  0.01981  0.02994  0.02484
4   4   3    3200  17.0129 25:16:17 -2.18955446796E+06 -2.18315520887E+06  0.17118  0.13521  0.12227  0.11376  0.00835  0.01981  0.02994  0.02484
4   4   4    4400  16.0846 27:16:17 -2.18929116718E+06 -2.18308869957E+06  0.17156  0.13560  0.10991  0.11442  0.00835  0.01981  0.03289  0.03161
4   4   6    6100  12.4473 29:16:17 -2.18847068316E+06 -2.18308869957E+06  0.17131  0.13534  0.11311  0.12279  0.00835  0.01981  0.03428  0.01971
4   4   6    6400  13.6970 29:16:17 -2.18860640929E+06 -2.18308869957E+06  0.17193  0.13598  0.11397  0.10630  0.00835  0.01981  0.04342  0.02131
4   4   7    7700   8.0930 31:16:17 -2.18361122477E+06 -2.18308869957E+06  0.17165  0.13569  0.11819  0.12920  0.00835  0.01981  0.01405  0.03027
4   4   9    9500   6.2185 33:16:17 -2.18490668758E+06 -2.18308869957E+06  0.17184  0.13589  0.10534  0.12259  0.00835  0.01981  0.03749  0.02427
4   4  11   11300  13.0435 35:16:17 -2.18905684314E+06 -2.18308869957E+06  0.17124  0.13527  0.13761  0.09983  0.00835  0.01981  0.02405  0.02960
4   4  12   12800   4.0847 36:16:17 -2.18422127987E+06 -2.18308869957E+06  0.17353  0.13763  0.11837  0.13477  0.00835  0.01981  0.02643  0.01955
4   4  12   13000   4.1575 37:16:17 -2.18428013113E+06 -2.18308869957E+06  0.17353  0.13763  0.11837  0.13477  0.00835  0.01981  0.02643  0.01955
4   4  14   14800   5.6711 39:16:17 -2.18315520887E+06 -2.18308869957E+06  0.17124  0.13527  0.10974  0.12974  0.00835  0.01981  0.03003  0.02168
4   4 200   15453   0.0000 39:16:17 -2.18308869957E+06 -2.18308869957E+06  0.17204  0.13609  0.11187  0.13070  0.00835  0.01981  0.02044  0.02782
